Training started at 2025-05-29 13:47:07
Logging training to saved/almgren_FC_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | FC                        |
| Depth                     | 13                        |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 200                       |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     2.91e+00 |     1.28e+00 |     7.28e-01 |     9.06e-01 |   1.00e-03 |        31.14 |     0.27 |      N/A | Model saved (best)  
      50 |     2.44e+02 |     2.68e+01 |     1.51e+02 |     6.65e+01 |   1.00e-03 |        31.14 |     1.30 |   2m 37s | Model saved         
     100 |     1.49e+01 |     7.27e+00 |     3.50e+00 |     4.13e+00 |   1.00e-03 |        31.14 |     1.33 |   2m 23s | Model saved         
     150 |     4.94e+00 |     2.47e+00 |     6.43e-01 |     1.83e+00 |   1.00e-03 |        31.14 |     1.31 |   2m 17s | Model saved         
     200 |     4.11e+00 |     2.16e+00 |     4.97e-01 |     1.46e+00 |   1.00e-03 |        31.14 |     1.30 |   2m 13s | Model saved         
     250 |     6.01e+00 |     3.50e+00 |     8.64e-01 |     1.65e+00 |   1.00e-03 |        31.14 |     1.31 |   2m 10s | Model saved         
     300 |     5.56e+00 |     3.37e+00 |     7.42e-01 |     1.45e+00 |   1.00e-03 |        31.14 |     1.28 |   2m 07s | Model saved         
     350 |     6.64e+00 |     4.28e+00 |     8.58e-01 |     1.50e+00 |   1.00e-03 |        31.14 |     1.34 |   2m 06s | Model saved         
     400 |     5.92e+00 |     3.44e+00 |     9.48e-01 |     1.53e+00 |   8.00e-04 |        31.14 |     1.27 |   2m 04s | Model saved         
     450 |     4.79e+00 |     2.73e+00 |     6.79e-01 |     1.39e+00 |   8.00e-04 |        31.14 |     1.26 |   2m 01s | Model saved         
     500 |     6.22e+00 |     3.84e+00 |     9.03e-01 |     1.48e+00 |   8.00e-04 |        31.14 |     1.33 |   2m 00s | Model saved         
     550 |     5.84e+00 |     3.44e+00 |     9.69e-01 |     1.43e+00 |   8.00e-04 |        31.14 |     1.29 |   1m 58s | Model saved         
     600 |     5.72e+00 |     3.56e+00 |     8.08e-01 |     1.34e+00 |   6.40e-04 |        31.14 |     1.22 |   1m 56s | Model saved         
     650 |     3.93e+00 |     2.39e+00 |     4.15e-01 |     1.12e+00 |   6.40e-04 |        31.14 |     1.26 |   1m 55s | Model saved         
     700 |     3.63e+00 |     2.17e+00 |     3.69e-01 |     1.09e+00 |   6.40e-04 |        31.14 |     1.23 |   1m 53s | Model saved         
     750 |     5.53e+00 |     3.05e+00 |     9.06e-01 |     1.57e+00 |   6.40e-04 |        31.14 |     1.31 |   1m 51s | Model saved         
     800 |     4.56e+00 |     2.65e+00 |     6.26e-01 |     1.28e+00 |   6.40e-04 |        31.14 |     1.22 |   1m 50s | Model saved         
     850 |     5.15e+00 |     3.13e+00 |     7.75e-01 |     1.25e+00 |   6.40e-04 |        31.14 |     1.09 |   1m 47s | Model saved         
     900 |     4.31e+00 |     2.68e+00 |     5.58e-01 |     1.08e+00 |   5.12e-04 |        31.14 |     1.35 |   1m 46s | Model saved         
     950 |     3.50e+00 |     2.11e+00 |     3.46e-01 |     1.04e+00 |   5.12e-04 |        31.14 |     1.25 |   1m 45s | Model saved         
    1000 |     3.39e+00 |     2.02e+00 |     3.26e-01 |     1.05e+00 |   5.12e-04 |        31.14 |     1.22 |   1m 43s | Model saved         
    1050 |     5.45e+00 |     3.48e+00 |     7.25e-01 |     1.25e+00 |   5.12e-04 |        31.14 |     1.26 |   1m 42s | Model saved         
    1100 |     3.75e+00 |     2.35e+00 |     3.91e-01 |     1.01e+00 |   5.12e-04 |        31.14 |     1.25 |   1m 40s | Model saved         
    1150 |     6.15e+00 |     3.94e+00 |     8.90e-01 |     1.32e+00 |   4.10e-04 |        31.14 |     1.25 |   1m 39s | Model saved         
    1200 |     3.41e+00 |     2.00e+00 |     3.41e-01 |     1.07e+00 |   4.10e-04 |        31.14 |     1.25 |   1m 37s | Model saved         
    1250 |     3.17e+00 |     1.91e+00 |     2.46e-01 |     1.02e+00 |   4.10e-04 |        31.14 |     1.35 |   1m 36s | Model saved         
    1300 |     3.74e+00 |     2.40e+00 |     3.14e-01 |     1.02e+00 |   4.10e-04 |        31.14 |     1.36 |   1m 35s | Model saved         
    1350 |     4.60e+00 |     2.72e+00 |     6.29e-01 |     1.25e+00 |   4.10e-04 |        31.14 |     1.24 |   1m 34s | Model saved         
    1400 |     2.68e+00 |     1.53e+00 |     2.49e-01 |     9.02e-01 |   4.10e-04 |        31.14 |     1.25 |   1m 33s | Model saved (best)  
    1450 |     3.37e+00 |     2.13e+00 |     2.69e-01 |     9.78e-01 |   4.10e-04 |        31.14 |     1.43 |   1m 32s | Model saved         
    1500 |     3.11e+00 |     1.84e+00 |     2.90e-01 |     9.80e-01 |   3.28e-04 |        31.14 |     1.31 |   1m 30s | Model saved         
    1550 |     5.75e+00 |     3.70e+00 |     8.14e-01 |     1.23e+00 |   3.28e-04 |        31.14 |     1.28 |   1m 29s | Model saved         
    1600 |     3.66e+00 |     2.22e+00 |     3.77e-01 |     1.07e+00 |   3.28e-04 |        31.14 |     1.24 |   1m 28s | Model saved         
    1650 |     2.93e+00 |     1.77e+00 |     2.57e-01 |     8.99e-01 |   3.28e-04 |        31.14 |     1.82 |   1m 27s | Model saved         
    1700 |     2.77e+00 |     1.64e+00 |     2.30e-01 |     9.01e-01 |   2.62e-04 |        31.14 |     1.58 |   1m 27s | Model saved         
    1750 |     2.69e+00 |     1.59e+00 |     2.05e-01 |     8.98e-01 |   2.62e-04 |        31.14 |     1.34 |   1m 25s | Model saved         
    1800 |     3.19e+00 |     1.94e+00 |     2.87e-01 |     9.60e-01 |   2.62e-04 |        31.14 |     1.34 |   1m 24s | Model saved         
    1850 |     2.22e+00 |     1.30e+00 |     1.43e-01 |     7.81e-01 |   2.62e-04 |        31.14 |     1.28 |   1m 23s | Model saved (best)  
    1900 |     2.37e+00 |     1.33e+00 |     1.82e-01 |     8.53e-01 |   2.10e-04 |        31.14 |     1.32 |   1m 21s | Model saved         
    1950 |     2.59e+00 |     1.51e+00 |     1.56e-01 |     9.24e-01 |   2.10e-04 |        31.14 |     1.32 |   1m 20s | Model saved         
    2000 |     2.46e+00 |     1.45e+00 |     1.36e-01 |     8.73e-01 |   2.10e-04 |        31.14 |     1.34 |   1m 19s | Model saved         
    2050 |     2.47e+00 |     1.44e+00 |     1.69e-01 |     8.57e-01 |   2.10e-04 |        31.14 |     1.32 |   1m 18s | Model saved         
    2100 |     2.02e+00 |     1.14e+00 |     1.33e-01 |     7.46e-01 |   1.68e-04 |        31.14 |     1.64 |   1m 17s | Model saved (best)  
    2150 |     2.85e+00 |     1.70e+00 |     2.54e-01 |     8.92e-01 |   1.68e-04 |        31.14 |     1.47 |   1m 16s | Model saved         
    2200 |     2.70e+00 |     1.61e+00 |     1.90e-01 |     9.04e-01 |   1.68e-04 |        31.14 |     1.63 |   1m 15s | Model saved         
    2250 |     2.34e+00 |     1.32e+00 |     1.31e-01 |     8.85e-01 |   1.68e-04 |        31.14 |     1.40 |   1m 13s | Model saved         
