Training started at 2025-05-29 13:19:43
Logging training to saved/almgren_LSTM_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 0.1                       |
| lambda_TG (Gradient loss) | 0.1                       |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | LSTM                      |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 100                       |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     4.56e+03 |     9.64e+01 |     3.07e+03 |     1.39e+03 |   1.00e-03 |        64.65 |     0.38 |      N/A | Model saved (best)  
      50 |     4.30e+03 |     1.97e+02 |     2.78e+03 |     1.32e+03 |   1.00e-03 |        64.65 |     1.69 |   3m 26s | Model saved (best)  
     100 |     4.13e+03 |     1.36e+02 |     2.74e+03 |     1.25e+03 |   1.00e-03 |        64.65 |     1.71 |   3m 07s | Model saved (best)  
     150 |     4.02e+03 |     8.43e+01 |     2.71e+03 |     1.22e+03 |   1.00e-03 |        64.65 |     1.86 |   3m 05s | Model saved (best)  
     200 |     4.10e+03 |     1.38e+02 |     2.74e+03 |     1.22e+03 |   1.00e-03 |        64.65 |     1.76 |   3m 00s | Model saved         
     250 |     4.12e+03 |     7.20e+01 |     2.79e+03 |     1.25e+03 |   1.00e-03 |        64.65 |     2.38 |   3m 08s | Model saved         
     300 |     3.92e+03 |     7.90e+01 |     2.64e+03 |     1.20e+03 |   1.00e-03 |        64.65 |     2.58 |   3m 15s | Model saved (best)  
     350 |     3.68e+03 |     7.06e+01 |     2.45e+03 |     1.16e+03 |   1.00e-03 |        64.65 |     2.35 |   3m 17s | Model saved (best)  
     400 |     3.57e+03 |     9.10e+01 |     2.36e+03 |     1.12e+03 |   1.00e-03 |        64.65 |     2.37 |   3m 18s | Model saved (best)  
     450 |     3.43e+03 |     8.26e+01 |     2.25e+03 |     1.10e+03 |   1.00e-03 |        64.65 |     2.20 |   3m 17s | Model saved (best)  
     500 |     3.39e+03 |     6.73e+01 |     2.22e+03 |     1.10e+03 |   1.00e-03 |        64.65 |     1.97 |   3m 13s | Model saved (best)  
     550 |     3.36e+03 |     7.67e+01 |     2.18e+03 |     1.10e+03 |   1.00e-03 |        64.65 |     2.64 |   3m 15s | Model saved (best)  
     600 |     3.20e+03 |     8.88e+01 |     2.07e+03 |     1.04e+03 |   1.00e-03 |        64.65 |     3.07 |   3m 20s | Model saved (best)  
     650 |     3.13e+03 |     1.03e+02 |     1.99e+03 |     1.03e+03 |   1.00e-03 |        64.65 |     2.25 |   3m 18s | Model saved (best)  
     700 |     3.09e+03 |     1.22e+02 |     1.95e+03 |     1.01e+03 |   1.00e-03 |        64.65 |     2.04 |   3m 14s | Model saved (best)  
     750 |     3.05e+03 |     1.07e+02 |     1.96e+03 |     9.87e+02 |   1.00e-03 |        64.65 |     1.75 |   3m 09s | Model saved (best)  
     800 |     3.00e+03 |     9.37e+01 |     1.92e+03 |     9.88e+02 |   1.00e-03 |        64.65 |     1.79 |   3m 05s | Model saved (best)  
     850 |     2.90e+03 |     8.89e+01 |     1.84e+03 |     9.77e+02 |   1.00e-03 |        64.65 |     1.85 |   3m 01s | Model saved (best)  
     900 |     2.74e+03 |     1.08e+02 |     1.69e+03 |     9.40e+02 |   1.00e-03 |        64.65 |     1.91 |   2m 58s | Model saved (best)  
     950 |     2.78e+03 |     1.17e+02 |     1.72e+03 |     9.40e+02 |   1.00e-03 |        64.65 |     1.87 |   2m 54s | Model saved         
    1000 |     2.75e+03 |     1.05e+02 |     1.72e+03 |     9.29e+02 |   1.00e-03 |        64.65 |     1.71 |   2m 50s | Model saved         
    1050 |     2.75e+03 |     9.27e+01 |     1.71e+03 |     9.42e+02 |   8.00e-04 |        64.65 |     1.62 |   2m 46s | Model saved         
    1100 |     2.67e+03 |     1.09e+02 |     1.63e+03 |     9.28e+02 |   8.00e-04 |        64.65 |     1.82 |   2m 43s | Model saved (best)  
    1150 |     2.59e+03 |     1.03e+02 |     1.58e+03 |     9.10e+02 |   8.00e-04 |        64.65 |     1.90 |   2m 40s | Model saved (best)  
    1200 |     2.51e+03 |     9.50e+01 |     1.54e+03 |     8.83e+02 |   8.00e-04 |        64.65 |     1.70 |   2m 37s | Model saved (best)  
    1250 |     2.52e+03 |     1.06e+02 |     1.53e+03 |     8.81e+02 |   8.00e-04 |        64.65 |     1.90 |   2m 35s | Model saved         
    1300 |     2.45e+03 |     1.02e+02 |     1.49e+03 |     8.65e+02 |   8.00e-04 |        64.65 |     1.73 |   2m 32s | Model saved (best)  
    1350 |     2.44e+03 |     1.12e+02 |     1.48e+03 |     8.50e+02 |   8.00e-04 |        64.65 |     1.74 |   2m 29s | Model saved (best)  
    1400 |     2.39e+03 |     9.95e+01 |     1.46e+03 |     8.36e+02 |   8.00e-04 |        64.65 |     1.95 |   2m 27s | Model saved (best)  
    1450 |     2.40e+03 |     1.13e+02 |     1.45e+03 |     8.33e+02 |   8.00e-04 |        64.65 |     1.98 |   2m 25s | Model saved         
    1500 |     2.38e+03 |     1.17e+02 |     1.41e+03 |     8.47e+02 |   8.00e-04 |        64.65 |     1.94 |   2m 22s | Model saved (best)  
    1550 |     2.28e+03 |     1.17e+02 |     1.34e+03 |     8.24e+02 |   8.00e-04 |        64.65 |     1.94 |   2m 20s | Model saved (best)  
    1600 |     2.29e+03 |     9.54e+01 |     1.39e+03 |     8.04e+02 |   8.00e-04 |        64.65 |     2.23 |   2m 19s | Model saved         
    1650 |     2.27e+03 |     1.00e+02 |     1.37e+03 |     7.99e+02 |   8.00e-04 |        64.65 |     1.69 |   2m 16s | Model saved (best)  
    1700 |     2.32e+03 |     1.17e+02 |     1.40e+03 |     8.01e+02 |   8.00e-04 |        64.65 |     1.65 |   2m 13s | Model saved         
    1750 |     2.23e+03 |     9.95e+01 |     1.34e+03 |     7.95e+02 |   6.40e-04 |        64.65 |     1.83 |   2m 11s | Model saved (best)  
