Training started at 2025-05-29 14:17:42
Logging training to saved/almgren_NAISnet_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 0.01                      |
| lambda_TG (Gradient loss) | 0.01                      |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | NAISnet                   |
| Depth                     | 9                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     2.89e+00 |     2.85e+00 |     3.83e-02 |     1.48e-03 |   1.00e-03 |        25.11 |     0.52 |      N/A | Model saved (best)  
      50 |     6.91e-01 |     6.76e-01 |     1.01e-02 |     5.31e-03 |   1.00e-03 |        25.11 |     2.23 |   4m 33s | Model saved (best)  
     100 |     2.44e-01 |     2.35e-01 |     5.13e-03 |     3.39e-03 |   1.00e-03 |        25.11 |     2.25 |   4m 06s | Model saved (best)  
     150 |     1.48e-01 |     1.42e-01 |     3.76e-03 |     2.47e-03 |   1.00e-03 |        25.11 |     2.66 |   4m 09s | Model saved (best)  
     200 |     1.09e-01 |     1.04e-01 |     2.99e-03 |     1.95e-03 |   1.00e-03 |        25.11 |     2.53 |   4m 06s | Model saved (best)  
     250 |     9.25e-02 |     8.80e-02 |     2.76e-03 |     1.78e-03 |   1.00e-03 |        25.11 |     2.46 |   4m 01s | Model saved (best)  
     300 |     7.54e-02 |     7.16e-02 |     2.24e-03 |     1.54e-03 |   1.00e-03 |        25.11 |     2.47 |   3m 58s | Model saved (best)  
     350 |     6.41e-02 |     6.06e-02 |     2.01e-03 |     1.42e-03 |   1.00e-03 |        25.11 |     2.37 |   3m 54s | Model saved (best)  
     400 |     5.48e-02 |     5.21e-02 |     1.56e-03 |     1.16e-03 |   1.00e-03 |        25.11 |     2.48 |   3m 51s | Model saved (best)  
     450 |     4.53e-02 |     4.30e-02 |     1.26e-03 |     9.95e-04 |   1.00e-03 |        25.11 |     2.39 |   3m 47s | Model saved (best)  
     500 |     3.26e-02 |     3.08e-02 |     9.75e-04 |     8.35e-04 |   1.00e-03 |        25.11 |     2.57 |   3m 45s | Model saved (best)  
     550 |     2.78e-02 |     2.63e-02 |     8.02e-04 |     7.05e-04 |   1.00e-03 |        25.11 |     2.70 |   3m 45s | Model saved (best)  
     600 |     2.30e-02 |     2.19e-02 |     5.57e-04 |     5.55e-04 |   1.00e-03 |        25.11 |     2.64 |   3m 43s | Model saved (best)  
     650 |     2.26e-02 |     2.16e-02 |     5.22e-04 |     4.95e-04 |   1.00e-03 |        25.11 |     2.46 |   3m 40s | Model saved (best)  
     700 |     1.85e-02 |     1.77e-02 |     4.18e-04 |     4.18e-04 |   1.00e-03 |        25.11 |     2.39 |   3m 37s | Model saved (best)  
     750 |     1.55e-02 |     1.49e-02 |     3.13e-04 |     3.54e-04 |   1.00e-03 |        25.11 |     2.50 |   3m 34s | Model saved (best)  
     800 |     2.18e-02 |     2.10e-02 |     3.79e-04 |     3.54e-04 |   1.00e-03 |        25.11 |     2.36 |   3m 31s | Model saved         
     850 |     1.50e-02 |     1.44e-02 |     2.92e-04 |     3.02e-04 |   1.00e-03 |        25.11 |     2.32 |   3m 27s | Model saved (best)  
     900 |     1.10e-02 |     1.05e-02 |     2.38e-04 |     2.69e-04 |   1.00e-03 |        25.11 |     2.28 |   3m 24s | Model saved (best)  
     950 |     1.20e-02 |     1.15e-02 |     2.52e-04 |     2.59e-04 |   1.00e-03 |        25.11 |     2.58 |   3m 22s | Model saved         
    1000 |     1.01e-02 |     9.64e-03 |     2.02e-04 |     2.32e-04 |   1.00e-03 |        25.11 |     2.25 |   3m 18s | Model saved (best)  
    1050 |     1.19e-02 |     1.15e-02 |     1.99e-04 |     2.15e-04 |   1.00e-03 |        25.11 |     2.20 |   3m 15s | Model saved         
    1100 |     9.41e-03 |     9.07e-03 |     1.57e-04 |     1.86e-04 |   1.00e-03 |        25.11 |     2.48 |   3m 13s | Model saved (best)  
    1150 |     9.10e-03 |     8.73e-03 |     1.78e-04 |     1.91e-04 |   1.00e-03 |        25.11 |     2.35 |   3m 10s | Model saved (best)  
    1200 |     1.12e-02 |     1.08e-02 |     1.79e-04 |     1.83e-04 |   1.00e-03 |        25.11 |     2.65 |   3m 08s | Model saved         
    1250 |     9.00e-03 |     8.69e-03 |     1.46e-04 |     1.61e-04 |   1.00e-03 |        25.11 |     2.29 |   3m 05s | Model saved (best)  
    1300 |     8.14e-03 |     7.84e-03 |     1.41e-04 |     1.60e-04 |   1.00e-03 |        25.11 |     2.47 |   3m 02s | Model saved (best)  
    1350 |     7.53e-03 |     7.25e-03 |     1.32e-04 |     1.56e-04 |   1.00e-03 |        25.11 |     2.54 |   3m 00s | Model saved (best)  
    1400 |     6.84e-03 |     6.60e-03 |     1.00e-04 |     1.35e-04 |   1.00e-03 |        25.11 |     2.31 |   2m 57s | Model saved (best)  
    1450 |     9.80e-03 |     9.49e-03 |     1.58e-04 |     1.55e-04 |   1.00e-03 |        25.11 |     2.57 |   2m 55s | Model saved         
    1500 |     6.61e-03 |     6.39e-03 |     1.01e-04 |     1.26e-04 |   1.00e-03 |        25.11 |     2.49 |   2m 53s | Model saved (best)  
    1550 |     6.55e-03 |     6.33e-03 |     1.02e-04 |     1.25e-04 |   1.00e-03 |        25.11 |     2.45 |   2m 50s | Model saved (best)  
    1600 |     8.36e-03 |     8.08e-03 |     1.38e-04 |     1.40e-04 |   1.00e-03 |        25.11 |     2.57 |   2m 48s | Model saved         
    1650 |     6.96e-03 |     6.71e-03 |     1.20e-04 |     1.27e-04 |   1.00e-03 |        25.11 |     2.65 |   2m 46s | Model saved         
    1700 |     8.28e-03 |     8.03e-03 |     1.21e-04 |     1.24e-04 |   1.00e-03 |        25.11 |     2.44 |   2m 43s | Model saved         
    1750 |     8.33e-03 |     8.05e-03 |     1.44e-04 |     1.33e-04 |   1.00e-03 |        25.11 |     2.63 |   2m 41s | Model saved         
    1800 |     7.82e-03 |     7.60e-03 |     1.01e-04 |     1.18e-04 |   1.00e-03 |        25.11 |     2.43 |   2m 39s | Model saved         
    1850 |     5.90e-03 |     5.71e-03 |     8.81e-05 |     1.04e-04 |   8.00e-04 |        25.11 |     2.38 |   2m 36s | Model saved (best)  
    1900 |     5.12e-03 |     4.96e-03 |     6.98e-05 |     9.54e-05 |   8.00e-04 |        25.11 |     2.44 |   2m 33s | Model saved (best)  
    1950 |     5.18e-03 |     5.00e-03 |     7.80e-05 |     1.01e-04 |   8.00e-04 |        25.11 |     2.30 |   2m 31s | Model saved         
    2000 |     4.60e-03 |     4.43e-03 |     7.32e-05 |     9.53e-05 |   8.00e-04 |        25.11 |     2.41 |   2m 28s | Model saved (best)  
    2050 |     6.82e-03 |     6.63e-03 |     8.93e-05 |     9.80e-05 |   8.00e-04 |        25.11 |     2.49 |   2m 26s | Model saved         
    2100 |     6.56e-03 |     6.37e-03 |     9.18e-05 |     9.82e-05 |   8.00e-04 |        25.11 |     2.61 |   2m 23s | Model saved         
    2150 |     7.50e-03 |     7.31e-03 |     9.45e-05 |     9.66e-05 |   8.00e-04 |        25.11 |     2.74 |   2m 21s | Model saved         
    2200 |     4.70e-03 |     4.53e-03 |     7.73e-05 |     9.58e-05 |   8.00e-04 |        25.11 |     2.61 |   2m 19s | Model saved         
    2250 |     3.81e-03 |     3.65e-03 |     6.32e-05 |     9.10e-05 |   8.00e-04 |        25.11 |     2.63 |   2m 17s | Model saved (best)  
    2300 |     5.23e-03 |     5.10e-03 |     5.58e-05 |     7.44e-05 |   8.00e-04 |        25.11 |     2.56 |   2m 14s | Model saved         
    2350 |     4.19e-03 |     4.04e-03 |     6.49e-05 |     8.53e-05 |   8.00e-04 |        25.11 |     2.46 |   2m 12s | Model saved         
    2400 |     4.05e-03 |     3.90e-03 |     6.64e-05 |     8.34e-05 |   8.00e-04 |        25.11 |     2.66 |   2m 09s | Model saved         
    2450 |     4.31e-03 |     4.17e-03 |     5.95e-05 |     8.04e-05 |   8.00e-04 |        25.11 |     2.54 |   2m 07s | Model saved         
    2500 |     4.42e-03 |     4.28e-03 |     5.82e-05 |     7.77e-05 |   8.00e-04 |        25.11 |     2.60 |   2m 05s | Model saved         
    2550 |     5.50e-03 |     5.36e-03 |     6.42e-05 |     7.78e-05 |   8.00e-04 |        25.11 |     2.54 |   2m 02s | Model saved         
    2600 |     5.12e-03 |     4.95e-03 |     8.20e-05 |     8.58e-05 |   6.40e-04 |        25.11 |     2.33 |   1m 59s | Model saved         
    2650 |     4.03e-03 |     3.90e-03 |     5.23e-05 |     7.41e-05 |   6.40e-04 |        25.11 |     2.55 |   1m 57s | Model saved         
    2700 |     3.47e-03 |     3.35e-03 |     4.79e-05 |     7.10e-05 |   6.40e-04 |        25.11 |     2.77 |   1m 55s | Model saved (best)  
    2750 |     3.40e-03 |     3.27e-03 |     5.63e-05 |     7.24e-05 |   6.40e-04 |        25.11 |     2.53 |   1m 52s | Model saved (best)  
    2800 |     3.29e-03 |     3.18e-03 |     4.57e-05 |     6.86e-05 |   6.40e-04 |        25.11 |     2.83 |   1m 50s | Model saved (best)  
    2850 |     5.08e-03 |     4.96e-03 |     5.32e-05 |     7.00e-05 |   6.40e-04 |        25.11 |     2.52 |   1m 48s | Model saved         
    2900 |     4.20e-03 |     4.06e-03 |     6.30e-05 |     7.42e-05 |   6.40e-04 |        25.11 |     2.68 |   1m 45s | Model saved         
    2950 |     3.73e-03 |     3.61e-03 |     5.03e-05 |     6.61e-05 |   6.40e-04 |        25.11 |     3.56 |   1m 43s | Model saved         
    3000 |     3.00e-03 |     2.90e-03 |     3.81e-05 |     6.06e-05 |   5.12e-04 |        25.11 |     3.26 |   1m 41s | Model saved (best)  
    3050 |     4.06e-03 |     3.94e-03 |     5.33e-05 |     6.88e-05 |   5.12e-04 |        25.11 |     2.54 |   1m 39s | Model saved         
