Training started at 2025-05-29 19:02:26
Logging training to saved/almgren_ResLSTM_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | ResLSTM                   |
| Depth                     | 9                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 200                       |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     3.78e+00 |     3.74e+00 |     2.68e-02 |     1.29e-02 |   1.00e-03 |       123.73 |     0.83 |      N/A | Model saved (best)  
      50 |     1.02e+00 |     7.86e-01 |     1.61e-01 |     7.19e-02 |   1.00e-03 |       123.73 |     5.24 |  10m 09s | Model saved (best)  
     100 |     1.33e-01 |     1.04e-01 |     1.50e-02 |     1.43e-02 |   1.00e-03 |       123.73 |     5.99 |  10m 00s | Model saved (best)  
     150 |     2.01e-02 |     1.49e-02 |     1.94e-03 |     3.28e-03 |   1.00e-03 |       123.73 |     5.79 |   9m 45s | Model saved (best)  
     200 |     1.11e-02 |     8.18e-03 |     8.50e-04 |     2.04e-03 |   1.00e-03 |       123.73 |     5.89 |   9m 38s | Model saved (best)  
     250 |     1.11e-02 |     8.54e-03 |     9.89e-04 |     1.56e-03 |   1.00e-03 |       123.73 |     4.43 |   9m 03s | Model saved         
     300 |     1.49e-02 |     1.24e-02 |     1.02e-03 |     1.54e-03 |   1.00e-03 |       123.73 |     4.92 |   8m 45s | Model saved         
     350 |     1.57e-02 |     1.25e-02 |     1.63e-03 |     1.58e-03 |   1.00e-03 |       123.73 |     4.55 |   8m 26s | Model saved         
     400 |     9.67e-03 |     7.62e-03 |     8.13e-04 |     1.24e-03 |   1.00e-03 |       123.73 |     5.24 |   8m 20s | Model saved (best)  
     450 |     7.27e-03 |     6.02e-03 |     3.83e-04 |     8.67e-04 |   1.00e-03 |       123.73 |     4.81 |   8m 09s | Model saved (best)  
     500 |     1.03e-02 |     8.74e-03 |     6.11e-04 |     9.25e-04 |   1.00e-03 |       123.73 |     4.24 |   7m 54s | Model saved         
     550 |     9.34e-02 |     7.72e-02 |     9.58e-03 |     6.66e-03 |   1.00e-03 |       123.73 |     4.85 |   7m 46s | Model saved         
     600 |     1.04e-02 |     8.62e-03 |     5.80e-04 |     1.23e-03 |   1.00e-03 |       123.73 |     5.00 |   7m 39s | Model saved         
     650 |     5.40e-03 |     4.27e-03 |     2.07e-04 |     9.22e-04 |   1.00e-03 |       123.73 |     4.22 |   7m 27s | Model saved (best)  
     700 |     7.21e-03 |     6.13e-03 |     3.48e-04 |     7.32e-04 |   1.00e-03 |       123.73 |     5.66 |   7m 26s | Model saved         
     750 |     5.44e-03 |     4.48e-03 |     2.92e-04 |     6.66e-04 |   1.00e-03 |       123.73 |     5.17 |   7m 21s | Model saved         
     800 |     4.54e-03 |     3.75e-03 |     1.82e-04 |     6.05e-04 |   1.00e-03 |       123.73 |     5.41 |   7m 17s | Model saved (best)  
     850 |     8.74e-03 |     7.53e-03 |     5.08e-04 |     6.98e-04 |   1.00e-03 |       123.73 |     5.31 |   7m 12s | Model saved         
     900 |     6.06e-03 |     5.06e-03 |     4.01e-04 |     5.92e-04 |   1.00e-03 |       123.73 |     5.01 |   7m 07s | Model saved         
     950 |     6.69e-03 |     5.87e-03 |     3.07e-04 |     5.15e-04 |   1.00e-03 |       123.73 |     4.44 |   6m 58s | Model saved         
    1000 |     4.34e-02 |     3.57e-02 |     4.55e-03 |     3.13e-03 |   8.00e-04 |       123.73 |     4.97 |   6m 53s | Model saved         
    1050 |     8.73e-03 |     7.36e-03 |     5.38e-04 |     8.36e-04 |   8.00e-04 |       123.73 |     4.17 |   6m 44s | Model saved         
