Training started at 2025-05-29 14:57:38
Logging training to saved/almgren_ResLSTM_Sine\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | ResLSTM                   |
| Depth                     | 9                         |
| Width                     | 256                       |
| Activation                | Sine                      |
| T                         | 1.0                       |
| N                         | 200                       |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     6.43e+00 |     2.38e+00 |     2.74e+00 |     1.31e+00 |   1.00e-03 |       123.73 |     0.41 |      N/A | Model saved (best)  
      50 |     2.85e+00 |     1.37e+00 |     9.32e-01 |     5.56e-01 |   1.00e-03 |       123.73 |     3.57 |   6m 41s | Model saved (best)  
     100 |     1.04e+00 |     6.16e-01 |     2.49e-01 |     1.72e-01 |   1.00e-03 |       123.73 |     3.62 |   6m 18s | Model saved (best)  
     150 |     1.93e-01 |     9.75e-02 |     5.22e-02 |     4.32e-02 |   1.00e-03 |       123.73 |     4.15 |   6m 26s | Model saved (best)  
     200 |     1.21e-01 |     5.48e-02 |     3.93e-02 |     2.69e-02 |   1.00e-03 |       123.73 |     5.12 |   6m 54s | Model saved (best)  
     250 |     9.18e-02 |     4.20e-02 |     2.76e-02 |     2.22e-02 |   1.00e-03 |       123.73 |     4.90 |   7m 02s | Model saved (best)  
     300 |     7.04e-02 |     3.20e-02 |     2.21e-02 |     1.63e-02 |   1.00e-03 |       123.73 |     3.47 |   6m 43s | Model saved (best)  
     350 |     8.65e-02 |     3.78e-02 |     3.11e-02 |     1.76e-02 |   1.00e-03 |       123.73 |     3.89 |   6m 34s | Model saved         
     400 |     6.94e-02 |     2.71e-02 |     2.58e-02 |     1.66e-02 |   1.00e-03 |       123.73 |     3.93 |   6m 27s | Model saved (best)  
     450 |     4.19e-02 |     2.04e-02 |     1.21e-02 |     9.44e-03 |   1.00e-03 |       123.73 |     3.87 |   6m 20s | Model saved (best)  
     500 |     4.69e-02 |     1.99e-02 |     1.82e-02 |     8.82e-03 |   1.00e-03 |       123.73 |     3.74 |   6m 12s | Model saved         
     550 |     5.06e-02 |     2.13e-02 |     1.90e-02 |     1.03e-02 |   1.00e-03 |       123.73 |     3.53 |   6m 03s | Model saved         
