Training started at 2025-05-28 20:28:51
Logging training to saved/almgren_Resnet_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | Resnet                    |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     4.37e+02 |     9.35e+00 |     2.93e+02 |     1.34e+02 |   1.00e-03 |        20.77 |     0.37 |      N/A | Model saved (best)  
      50 |     2.29e+02 |     6.41e+01 |     1.02e+02 |     6.29e+01 |   1.00e-03 |        20.77 |     1.00 |   2m 16s | Model saved (best)  
     100 |     6.87e+01 |     3.47e+01 |     1.72e+01 |     1.68e+01 |   1.00e-03 |        20.77 |     0.92 |   1m 53s | Model saved (best)  
     150 |     2.91e+01 |     1.64e+01 |     4.94e+00 |     7.77e+00 |   1.00e-03 |        20.77 |     0.72 |   1m 38s | Model saved (best)  
     200 |     2.44e+01 |     1.37e+01 |     3.88e+00 |     6.82e+00 |   1.00e-03 |        20.77 |     0.80 |   1m 32s | Model saved (best)  
     250 |     2.08e+01 |     1.16e+01 |     3.07e+00 |     6.20e+00 |   1.00e-03 |        20.77 |     0.86 |   1m 29s | Model saved (best)  
     300 |     1.87e+01 |     1.04e+01 |     2.66e+00 |     5.71e+00 |   1.00e-03 |        20.77 |     0.81 |   1m 26s | Model saved (best)  
     350 |     1.66e+01 |     9.14e+00 |     2.24e+00 |     5.20e+00 |   1.00e-03 |        20.77 |     0.83 |   1m 24s | Model saved (best)  
     400 |     1.66e+01 |     9.00e+00 |     2.70e+00 |     4.92e+00 |   1.00e-03 |        20.77 |     0.76 |   1m 22s | Model saved         
