Training started at 2025-05-28 15:07:26
Logging training to saved/almgren_supervised_FC_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 3000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | FC                        |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     5.05e-02 |     2.88e-03 |     1.36e-02 |     3.40e-02 |   1.00e-03 |        20.75 |     0.33 |      N/A | Model saved (best)  
      50 |     5.18e-01 |     2.20e-01 |     2.08e-01 |     8.96e-02 |   1.00e-03 |        20.75 |     0.80 |   1m 11s | Model saved         
     100 |     5.82e-02 |     3.11e-02 |     6.30e-03 |     2.09e-02 |   1.00e-03 |        20.75 |     0.89 |   1m 01s | Model saved         
     150 |     4.11e-02 |     1.66e-02 |     5.53e-03 |     1.90e-02 |   1.00e-03 |        20.75 |     1.37 |   1m 06s | Model saved (best)  
     200 |     3.46e-02 |     1.38e-02 |     4.38e-03 |     1.64e-02 |   1.00e-03 |        20.75 |     1.32 |   1m 07s | Model saved (best)  
     250 |     3.01e-02 |     1.16e-02 |     3.43e-03 |     1.50e-02 |   1.00e-03 |        20.75 |     0.91 |   1m 03s | Model saved (best)  
     300 |     2.89e-02 |     1.12e-02 |     3.52e-03 |     1.42e-02 |   1.00e-03 |        20.75 |     1.70 |   1m 07s | Model saved (best)  
     350 |     2.99e-02 |     1.17e-02 |     3.97e-03 |     1.42e-02 |   1.00e-03 |        20.75 |     1.36 |   1m 07s | Model saved         
     400 |     2.47e-02 |     9.64e-03 |     2.71e-03 |     1.23e-02 |   1.00e-03 |        20.75 |     1.10 |   1m 05s | Model saved (best)  
     450 |     2.32e-02 |     9.07e-03 |     2.35e-03 |     1.18e-02 |   1.00e-03 |        20.75 |     0.98 |   1m 02s | Model saved (best)  
     500 |     2.61e-02 |     9.88e-03 |     3.83e-03 |     1.24e-02 |   1.00e-03 |        20.75 |     1.42 |   1m 02s | Model saved         
     550 |     2.65e-02 |     1.07e-02 |     3.80e-03 |     1.20e-02 |   1.00e-03 |        20.75 |     1.96 |   1m 04s | Model saved         
     600 |     2.28e-02 |     9.34e-03 |     2.47e-03 |     1.10e-02 |   1.00e-03 |        20.75 |     2.07 |   1m 06s | Model saved (best)  
     650 |     2.46e-02 |     9.97e-03 |     3.68e-03 |     1.10e-02 |   1.00e-03 |        20.75 |     1.69 |   1m 05s | Model saved         
     700 |     2.55e-02 |     1.03e-02 |     3.99e-03 |     1.12e-02 |   1.00e-03 |        20.75 |     1.84 |   1m 06s | Model saved         
     750 |     2.19e-02 |     8.38e-03 |     3.16e-03 |     1.04e-02 |   1.00e-03 |        20.75 |     1.30 |   1m 04s | Model saved (best)  
     800 |     1.87e-02 |     7.47e-03 |     1.90e-03 |     9.32e-03 |   1.00e-03 |        20.75 |     1.48 |   1m 03s | Model saved (best)  
     850 |     2.06e-02 |     8.32e-03 |     2.82e-03 |     9.43e-03 |   1.00e-03 |        20.75 |     1.90 |   1m 02s | Model saved         
     900 |     2.02e-02 |     8.42e-03 |     2.73e-03 |     9.10e-03 |   1.00e-03 |        20.75 |     1.73 |   1m 01s | Model saved         
     950 |     1.94e-02 |     8.20e-03 |     2.69e-03 |     8.56e-03 |   8.00e-04 |        20.75 |     1.21 |      59s | Model saved         
    1000 |     1.84e-02 |     7.83e-03 |     2.10e-03 |     8.49e-03 |   8.00e-04 |        20.75 |     0.84 |      57s | Model saved (best)  
    1050 |     2.26e-02 |     1.01e-02 |     3.63e-03 |     8.85e-03 |   8.00e-04 |        20.75 |     0.99 |      55s | Model saved         
    1100 |     1.54e-02 |     6.38e-03 |     1.49e-03 |     7.55e-03 |   8.00e-04 |        20.75 |     0.85 |      52s | Model saved (best)  
    1150 |     1.74e-02 |     7.72e-03 |     2.29e-03 |     7.35e-03 |   8.00e-04 |        20.75 |     0.86 |      50s | Model saved         
    1200 |     1.53e-02 |     6.61e-03 |     1.43e-03 |     7.27e-03 |   8.00e-04 |        20.75 |     0.90 |      48s | Model saved (best)  
    1250 |     1.84e-02 |     7.95e-03 |     2.82e-03 |     7.59e-03 |   8.00e-04 |        20.75 |     1.01 |      46s | Model saved         
    1300 |     1.95e-02 |     8.36e-03 |     3.15e-03 |     7.96e-03 |   8.00e-04 |        20.75 |     0.78 |      44s | Model saved         
    1350 |     1.77e-02 |     7.63e-03 |     2.41e-03 |     7.63e-03 |   6.40e-04 |        20.75 |     0.82 |      42s | Model saved         
    1400 |     1.62e-02 |     7.04e-03 |     2.20e-03 |     6.92e-03 |   6.40e-04 |        20.75 |     0.98 |      41s | Model saved         
    1450 |     1.62e-02 |     7.20e-03 |     1.96e-03 |     7.04e-03 |   6.40e-04 |        20.75 |     0.73 |      39s | Model saved         
    1500 |     1.61e-02 |     7.04e-03 |     2.09e-03 |     7.01e-03 |   6.40e-04 |        20.75 |     0.92 |      37s | Model saved         
    1550 |     1.48e-02 |     6.73e-03 |     1.62e-03 |     6.47e-03 |   6.40e-04 |        20.75 |     0.89 |      35s | Model saved (best)  
    1600 |     1.44e-02 |     6.50e-03 |     1.72e-03 |     6.13e-03 |   6.40e-04 |        20.75 |     0.87 |      34s | Model saved (best)  
    1650 |     1.42e-02 |     6.34e-03 |     1.61e-03 |     6.26e-03 |   6.40e-04 |        20.75 |     0.88 |      32s | Model saved (best)  
    1700 |     1.47e-02 |     6.76e-03 |     1.66e-03 |     6.26e-03 |   6.40e-04 |        20.75 |     1.01 |      31s | Model saved         
    1750 |     1.51e-02 |     6.63e-03 |     1.88e-03 |     6.62e-03 |   5.12e-04 |        20.75 |     0.92 |      30s | Model saved         
    1800 |     1.52e-02 |     6.62e-03 |     1.92e-03 |     6.67e-03 |   5.12e-04 |        20.75 |     0.87 |      28s | Model saved         
    1850 |     1.41e-02 |     6.66e-03 |     1.60e-03 |     5.87e-03 |   5.12e-04 |        20.75 |     0.85 |      27s | Model saved (best)  
    1900 |     1.38e-02 |     6.15e-03 |     1.62e-03 |     6.05e-03 |   5.12e-04 |        20.75 |     0.82 |      25s | Model saved (best)  
    1950 |     1.59e-02 |     7.53e-03 |     2.26e-03 |     6.13e-03 |   5.12e-04 |        20.75 |     0.90 |      24s | Model saved         
    2000 |     1.43e-02 |     6.20e-03 |     1.87e-03 |     6.23e-03 |   5.12e-04 |        20.75 |     0.97 |      23s | Model saved         
    2050 |     1.16e-02 |     5.25e-03 |     9.97e-04 |     5.34e-03 |   5.12e-04 |        20.75 |     0.79 |      21s | Model saved (best)  
    2100 |     1.26e-02 |     5.99e-03 |     1.03e-03 |     5.62e-03 |   5.12e-04 |        20.75 |     0.96 |      20s | Model saved         
    2150 |     1.38e-02 |     6.32e-03 |     1.85e-03 |     5.63e-03 |   5.12e-04 |        20.75 |     0.82 |      19s | Model saved         
    2200 |     1.24e-02 |     5.78e-03 |     1.33e-03 |     5.26e-03 |   5.12e-04 |        20.75 |     0.90 |      18s | Model saved         
    2250 |     1.36e-02 |     6.39e-03 |     1.63e-03 |     5.56e-03 |   5.12e-04 |        20.75 |     0.83 |      16s | Model saved         
    2300 |     1.53e-02 |     6.69e-03 |     2.38e-03 |     6.25e-03 |   5.12e-04 |        20.75 |     0.80 |      15s | Model saved         
    2350 |     1.29e-02 |     5.52e-03 |     1.57e-03 |     5.79e-03 |   5.12e-04 |        20.75 |     0.86 |      14s | Model saved         
    2400 |     1.32e-02 |     5.81e-03 |     1.56e-03 |     5.86e-03 |   5.12e-04 |        20.75 |     0.89 |      13s | Model saved         
    2450 |     1.27e-02 |     5.77e-03 |     1.44e-03 |     5.45e-03 |   4.10e-04 |        20.75 |     0.89 |      12s | Model saved         
    2500 |     1.14e-02 |     5.02e-03 |     1.25e-03 |     5.16e-03 |   4.10e-04 |        20.75 |     0.84 |      11s | Model saved (best)  
    2550 |     1.15e-02 |     5.31e-03 |     1.14e-03 |     4.99e-03 |   4.10e-04 |        20.75 |     0.85 |       9s | Model saved         
    2600 |     1.21e-02 |     5.77e-03 |     1.17e-03 |     5.18e-03 |   4.10e-04 |        20.75 |     0.81 |       8s | Model saved         
    2650 |     1.09e-02 |     4.80e-03 |     1.24e-03 |     4.90e-03 |   4.10e-04 |        20.75 |     0.84 |       7s | Model saved (best)  
    2700 |     1.21e-02 |     5.48e-03 |     1.44e-03 |     5.16e-03 |   3.28e-04 |        20.75 |     0.95 |       6s | Model saved         
    2750 |     1.14e-02 |     5.46e-03 |     1.12e-03 |     4.78e-03 |   3.28e-04 |        20.75 |     0.95 |       5s | Model saved         
    2800 |     1.08e-02 |     4.92e-03 |     8.68e-04 |     4.96e-03 |   3.28e-04 |        20.75 |     0.80 |       4s | Model saved (best)  
    2850 |     1.09e-02 |     4.74e-03 |     1.14e-03 |     4.97e-03 |   3.28e-04 |        20.75 |     0.87 |       3s | Model saved         
    2900 |     1.10e-02 |     5.03e-03 |     9.74e-04 |     5.00e-03 |   3.28e-04 |        20.75 |     0.93 |       2s | Model saved         
    2950 |     1.04e-02 |     4.58e-03 |     7.93e-04 |     5.03e-03 |   3.28e-04 |        20.75 |     0.87 |       1s | Model saved (best)  
    2999 |     1.11e-02 |     5.04e-03 |     1.07e-03 |     4.97e-03 |   3.28e-04 |        20.75 |     0.80 |       0s | Model saved         
-------------------------------------------------------------------------------------------------------------------------------------------
Training completed. Lowest loss: 0.010404. Total time: 63.97 seconds
Model saved to saved/almgren_supervised_FC_ReLU\model.pth
