Training started at 2025-05-28 19:45:30
Logging training to saved/almgren_supervised_LSTM_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | LSTM                      |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     4.01e+02 |     4.18e+00 |     2.83e+02 |     1.14e+02 |   1.00e-03 |        63.91 |     0.84 |      N/A | Model saved (best)  
      50 |     2.04e+02 |     1.56e+01 |     1.17e+02 |     7.13e+01 |   1.00e-03 |        63.91 |     1.67 |   4m 11s | Model saved (best)  
     100 |     1.53e+02 |     9.61e+00 |     8.68e+01 |     5.71e+01 |   1.00e-03 |        63.91 |     1.83 |   3m 36s | Model saved (best)  
     150 |     1.33e+02 |     6.87e+00 |     7.47e+01 |     5.12e+01 |   1.00e-03 |        63.91 |     1.67 |   3m 17s | Model saved (best)  
     200 |     1.14e+02 |     5.37e+00 |     6.30e+01 |     4.56e+01 |   1.00e-03 |        63.91 |     1.73 |   3m 08s | Model saved (best)  
     250 |     1.02e+02 |     6.07e+00 |     5.37e+01 |     4.18e+01 |   1.00e-03 |        63.91 |     1.77 |   3m 03s | Model saved (best)  
     300 |     8.53e+01 |     4.75e+00 |     4.47e+01 |     3.58e+01 |   1.00e-03 |        63.91 |     1.67 |   2m 58s | Model saved (best)  
     350 |     7.54e+01 |     4.59e+00 |     3.84e+01 |     3.24e+01 |   1.00e-03 |        63.91 |     1.55 |   2m 52s | Model saved (best)  
     400 |     6.50e+01 |     4.52e+00 |     3.19e+01 |     2.85e+01 |   1.00e-03 |        63.91 |     1.62 |   2m 47s | Model saved (best)  
     450 |     6.00e+01 |     4.60e+00 |     2.94e+01 |     2.60e+01 |   1.00e-03 |        63.91 |     1.55 |   2m 43s | Model saved (best)  
     500 |     5.23e+01 |     4.10e+00 |     2.51e+01 |     2.31e+01 |   1.00e-03 |        63.91 |     1.59 |   2m 40s | Model saved (best)  
     550 |     4.96e+01 |     3.59e+00 |     2.44e+01 |     2.16e+01 |   1.00e-03 |        63.91 |     1.49 |   2m 36s | Model saved (best)  
     600 |     4.54e+01 |     3.68e+00 |     2.14e+01 |     2.03e+01 |   1.00e-03 |        63.91 |     1.71 |   2m 34s | Model saved (best)  
     650 |     4.10e+01 |     3.17e+00 |     1.91e+01 |     1.87e+01 |   1.00e-03 |        63.91 |     1.76 |   2m 32s | Model saved (best)  
     700 |     4.01e+01 |     2.95e+00 |     1.91e+01 |     1.81e+01 |   1.00e-03 |        63.91 |     1.77 |   2m 31s | Model saved (best)  
     750 |     3.75e+01 |     2.71e+00 |     1.83e+01 |     1.65e+01 |   1.00e-03 |        63.91 |     1.35 |   2m 27s | Model saved (best)  
     800 |     3.42e+01 |     2.61e+00 |     1.55e+01 |     1.61e+01 |   1.00e-03 |        63.91 |     1.38 |   2m 23s | Model saved (best)  
     850 |     3.34e+01 |     2.73e+00 |     1.55e+01 |     1.52e+01 |   1.00e-03 |        63.91 |     1.75 |   2m 22s | Model saved (best)  
     900 |     3.06e+01 |     2.88e+00 |     1.38e+01 |     1.39e+01 |   8.00e-04 |        63.91 |     1.74 |   2m 20s | Model saved (best)  
     950 |     2.82e+01 |     2.82e+00 |     1.24e+01 |     1.30e+01 |   8.00e-04 |        63.91 |     1.52 |   2m 18s | Model saved (best)  
    1000 |     2.86e+01 |     2.74e+00 |     1.23e+01 |     1.35e+01 |   8.00e-04 |        63.91 |     1.80 |   2m 17s | Model saved         
    1050 |     2.67e+01 |     2.52e+00 |     1.15e+01 |     1.27e+01 |   8.00e-04 |        63.91 |     1.62 |   2m 15s | Model saved (best)  
    1100 |     2.54e+01 |     2.67e+00 |     1.08e+01 |     1.19e+01 |   8.00e-04 |        63.91 |     1.58 |   2m 12s | Model saved (best)  
    1150 |     2.57e+01 |     2.57e+00 |     1.13e+01 |     1.18e+01 |   8.00e-04 |        63.91 |     1.65 |   2m 11s | Model saved         
    1200 |     2.69e+01 |     2.92e+00 |     1.18e+01 |     1.21e+01 |   8.00e-04 |        63.91 |     1.74 |   2m 09s | Model saved         
    1250 |     2.27e+01 |     2.88e+00 |     8.97e+00 |     1.09e+01 |   8.00e-04 |        63.91 |     1.59 |   2m 07s | Model saved (best)  
    1300 |     2.34e+01 |     2.72e+00 |     9.78e+00 |     1.09e+01 |   8.00e-04 |        63.91 |     1.61 |   2m 05s | Model saved         
    1350 |     2.10e+01 |     2.64e+00 |     8.44e+00 |     9.93e+00 |   8.00e-04 |        63.91 |     1.88 |   2m 04s | Model saved (best)  
    1400 |     2.00e+01 |     2.38e+00 |     8.19e+00 |     9.40e+00 |   8.00e-04 |        63.91 |     1.58 |   2m 02s | Model saved (best)  
    1450 |     1.99e+01 |     2.38e+00 |     8.10e+00 |     9.46e+00 |   8.00e-04 |        63.91 |     1.71 |   2m 00s | Model saved (best)  
    1500 |     1.98e+01 |     2.44e+00 |     7.84e+00 |     9.52e+00 |   8.00e-04 |        63.91 |     2.16 |   2m 00s | Model saved (best)  
    1550 |     1.72e+01 |     2.39e+00 |     6.50e+00 |     8.32e+00 |   8.00e-04 |        63.91 |     2.31 |   2m 00s | Model saved (best)  
    1600 |     1.56e+01 |     2.16e+00 |     5.58e+00 |     7.89e+00 |   8.00e-04 |        63.91 |     2.78 |   2m 00s | Model saved (best)  
    1650 |     1.73e+01 |     2.31e+00 |     6.56e+00 |     8.47e+00 |   8.00e-04 |        63.91 |     2.57 |   2m 00s | Model saved         
    1700 |     1.70e+01 |     2.51e+00 |     6.35e+00 |     8.11e+00 |   8.00e-04 |        63.91 |     2.66 |   2m 00s | Model saved         
    1750 |     1.64e+01 |     2.79e+00 |     6.01e+00 |     7.64e+00 |   8.00e-04 |        63.91 |     2.08 |   1m 59s | Model saved         
    1800 |     1.50e+01 |     2.08e+00 |     5.48e+00 |     7.48e+00 |   6.40e-04 |        63.91 |     2.27 |   1m 58s | Model saved (best)  
    1850 |     1.54e+01 |     1.78e+00 |     6.08e+00 |     7.59e+00 |   6.40e-04 |        63.91 |     2.32 |   1m 57s | Model saved         
    1900 |     1.44e+01 |     1.63e+00 |     5.19e+00 |     7.57e+00 |   6.40e-04 |        63.91 |     2.00 |   1m 55s | Model saved (best)  
    1950 |     1.47e+01 |     1.88e+00 |     5.49e+00 |     7.38e+00 |   6.40e-04 |        63.91 |     2.20 |   1m 54s | Model saved         
    2000 |     1.24e+01 |     1.72e+00 |     4.34e+00 |     6.35e+00 |   6.40e-04 |        63.91 |     2.24 |   1m 52s | Model saved (best)  
    2050 |     1.30e+01 |     1.55e+00 |     4.86e+00 |     6.57e+00 |   6.40e-04 |        63.91 |     2.29 |   1m 51s | Model saved         
    2100 |     1.19e+01 |     1.38e+00 |     4.51e+00 |     6.00e+00 |   6.40e-04 |        63.91 |     2.09 |   1m 50s | Model saved (best)  
    2150 |     1.01e+01 |     1.38e+00 |     3.21e+00 |     5.50e+00 |   6.40e-04 |        63.91 |     2.23 |   1m 48s | Model saved (best)  
    2200 |     1.04e+01 |     1.40e+00 |     3.72e+00 |     5.32e+00 |   6.40e-04 |        63.91 |     2.49 |   1m 47s | Model saved         
    2250 |     1.01e+01 |     1.50e+00 |     3.50e+00 |     5.11e+00 |   5.12e-04 |        63.91 |     2.41 |   1m 46s | Model saved         
    2300 |     1.05e+01 |     1.49e+00 |     3.63e+00 |     5.34e+00 |   5.12e-04 |        63.91 |     2.44 |   1m 44s | Model saved         
    2350 |     1.18e+01 |     1.64e+00 |     4.54e+00 |     5.64e+00 |   5.12e-04 |        63.91 |     1.81 |   1m 42s | Model saved         
    2400 |     1.14e+01 |     1.44e+00 |     4.34e+00 |     5.59e+00 |   5.12e-04 |        63.91 |     1.76 |   1m 40s | Model saved         
    2450 |     9.62e+00 |     1.45e+00 |     3.15e+00 |     5.01e+00 |   4.10e-04 |        63.91 |     1.63 |   1m 38s | Model saved (best)  
    2500 |     1.04e+01 |     1.56e+00 |     3.82e+00 |     5.00e+00 |   4.10e-04 |        63.91 |     1.60 |   1m 36s | Model saved         
    2550 |     1.05e+01 |     1.47e+00 |     3.95e+00 |     5.10e+00 |   4.10e-04 |        63.91 |     1.64 |   1m 33s | Model saved         
    2600 |     9.06e+00 |     1.40e+00 |     2.87e+00 |     4.79e+00 |   4.10e-04 |        63.91 |     1.76 |   1m 31s | Model saved (best)  
    2650 |     7.90e+00 |     1.27e+00 |     2.35e+00 |     4.28e+00 |   4.10e-04 |        63.91 |     2.21 |   1m 30s | Model saved (best)  
    2700 |     7.99e+00 |     1.38e+00 |     2.52e+00 |     4.09e+00 |   4.10e-04 |        63.91 |     1.84 |   1m 28s | Model saved         
    2750 |     7.88e+00 |     1.34e+00 |     2.39e+00 |     4.15e+00 |   4.10e-04 |        63.91 |     1.83 |   1m 26s | Model saved (best)  
    2800 |     8.13e+00 |     1.40e+00 |     2.71e+00 |     4.02e+00 |   4.10e-04 |        63.91 |     1.83 |   1m 24s | Model saved         
    2850 |     7.42e+00 |     1.32e+00 |     2.12e+00 |     3.98e+00 |   3.28e-04 |        63.91 |     1.71 |   1m 22s | Model saved (best)  
    2900 |     9.04e+00 |     1.34e+00 |     3.08e+00 |     4.63e+00 |   3.28e-04 |        63.91 |     1.55 |   1m 20s | Model saved         
    2950 |     7.85e+00 |     1.32e+00 |     2.17e+00 |     4.37e+00 |   3.28e-04 |        63.91 |     1.47 |   1m 17s | Model saved         
    3000 |     7.95e+00 |     1.40e+00 |     2.46e+00 |     4.09e+00 |   3.28e-04 |        63.91 |     1.81 |   1m 15s | Model saved         
    3050 |     8.23e+00 |     1.32e+00 |     2.59e+00 |     4.31e+00 |   2.62e-04 |        63.91 |     1.77 |   1m 14s | Model saved         
    3100 |     7.40e+00 |     1.30e+00 |     2.19e+00 |     3.90e+00 |   2.62e-04 |        63.91 |     1.64 |   1m 11s | Model saved (best)  
    3150 |     9.02e+00 |     1.43e+00 |     2.98e+00 |     4.61e+00 |   2.62e-04 |        63.91 |     1.69 |   1m 09s | Model saved         
    3200 |     8.28e+00 |     1.39e+00 |     2.48e+00 |     4.41e+00 |   2.62e-04 |        63.91 |     2.36 |   1m 08s | Model saved         
    3250 |     7.84e+00 |     1.42e+00 |     2.31e+00 |     4.10e+00 |   2.10e-04 |        63.91 |     2.41 |   1m 06s | Model saved         
    3300 |     7.77e+00 |     1.32e+00 |     2.22e+00 |     4.23e+00 |   2.10e-04 |        63.91 |     2.12 |   1m 04s | Model saved         
    3350 |     8.24e+00 |     1.41e+00 |     2.48e+00 |     4.34e+00 |   2.10e-04 |        63.91 |     2.01 |   1m 03s | Model saved         
    3400 |     7.26e+00 |     1.45e+00 |     1.78e+00 |     4.04e+00 |   2.10e-04 |        63.91 |     2.16 |   1m 01s | Model saved (best)  
    3450 |     6.93e+00 |     1.38e+00 |     1.63e+00 |     3.93e+00 |   1.68e-04 |        63.91 |     2.05 |      59s | Model saved (best)  
