Training started at 2025-05-28 18:02:51
Logging training to saved/almgren_supervised_ResLSTM_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | ResLSTM                   |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     3.03e+00 |     1.07e+00 |     5.08e-01 |     1.45e+00 |   1.00e-03 |        67.09 |     0.38 |      N/A | Model saved (best)  
      50 |     2.44e+01 |     1.21e+01 |     7.84e+00 |     4.42e+00 |   1.00e-03 |        67.09 |     3.51 |   6m 31s | Model saved         
     100 |     6.38e+00 |     3.12e+00 |     1.50e+00 |     1.75e+00 |   1.00e-03 |        67.09 |     2.27 |   5m 07s | Model saved         
     150 |     3.82e+00 |     1.72e+00 |     7.38e-01 |     1.36e+00 |   1.00e-03 |        67.09 |     2.03 |   4m 28s | Model saved         
     200 |     2.79e+00 |     1.21e+00 |     4.59e-01 |     1.11e+00 |   1.00e-03 |        67.09 |     1.97 |   4m 06s | Model saved (best)  
     250 |     2.76e+00 |     1.19e+00 |     4.24e-01 |     1.15e+00 |   1.00e-03 |        67.09 |     1.82 |   3m 50s | Model saved (best)  
     300 |     5.40e+00 |     2.56e+00 |     1.36e+00 |     1.48e+00 |   1.00e-03 |        67.09 |     2.64 |   3m 52s | Model saved         
     350 |     4.57e+00 |     2.13e+00 |     1.16e+00 |     1.28e+00 |   1.00e-03 |        67.09 |     2.86 |   3m 55s | Model saved         
     400 |     4.69e+00 |     2.30e+00 |     1.13e+00 |     1.26e+00 |   1.00e-03 |        67.09 |     2.86 |   3m 56s | Model saved         
     450 |     3.14e+00 |     1.49e+00 |     6.14e-01 |     1.04e+00 |   8.00e-04 |        67.09 |     2.78 |   3m 56s | Model saved         
     500 |     5.86e+00 |     2.50e+00 |     1.87e+00 |     1.50e+00 |   8.00e-04 |        67.09 |     2.93 |   3m 56s | Model saved         
     550 |     7.41e+00 |     4.03e+00 |     1.56e+00 |     1.82e+00 |   8.00e-04 |        67.09 |     2.57 |   3m 54s | Model saved         
     600 |     3.19e+00 |     1.45e+00 |     5.22e-01 |     1.21e+00 |   8.00e-04 |        67.09 |     2.54 |   3m 51s | Model saved         
