Running on device: cuda, Parallel training disabled
Model loaded successfully.
Training started at 2025-06-02 11:25:47
Logging training to saved/aid_NaisLSTM_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.01                      |
| Adaptive LR               | True                      |
| Adaptive Factor           | 0.95                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_dY (Spatial loss)  | 0                         |
| lambda_dYt (Temporal loss)| 0                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 0.1                       |
| lambda_pinn (PINN loss)   | 0                         |
| Batch Size per Epoch      | 1024                      |
| Batch Size per Rank       | 1024                      |
| Architecture              | NaisLSTM                  |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | False                     |
+---------------------------+---------------------------+

   Epoch | Total loss |     Y loss |    T. loss |   T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------
       1 |   7.90e-01 |   3.66e-01 |   2.82e-02 |    3.96e-01 |   1.00e-02 |       408.42 |     3.99 |      N/A | Model saved (best)  
      50 |   8.80e+01 |   1.88e+00 |   4.54e+01 |    4.07e+01 |   1.00e-02 |       408.42 |    51.61 |  91m 46s | Model saved         
     100 |   1.44e+01 |   2.89e+00 |   3.44e-01 |    1.12e+01 |   1.00e-02 |       408.42 |    72.18 | 104m 22s | Model saved         
     150 |   1.14e+01 |   2.57e+00 |   6.66e-02 |    8.77e+00 |   1.00e-02 |       408.44 |    57.18 |  99m 40s | Model saved         
     200 |   1.17e+01 |   1.85e+00 |   3.32e-01 |    9.50e+00 |   1.00e-02 |       408.44 |    50.87 |  94m 20s | Model saved         
     250 |   3.79e+00 |   1.41e+00 |   5.44e-02 |    2.33e+00 |   9.50e-03 |       408.42 |    64.05 |  94m 57s | Model saved         
     300 |   1.82e+00 |   8.88e-01 |   1.94e-02 |    9.11e-01 |   9.50e-03 |       408.42 |    71.24 |  96m 54s | Model saved         
     350 |   1.38e+00 |   6.88e-01 |   3.03e-02 |    6.63e-01 |   9.50e-03 |       408.42 |    79.78 |  99m 50s | Model saved         
     400 |   8.54e-01 |   6.06e-01 |   8.85e-03 |    2.39e-01 |   9.50e-03 |       408.42 |    78.77 | 101m 31s | Model saved         
     450 |   1.50e+00 |   6.46e-01 |   8.77e-02 |    7.64e-01 |   9.50e-03 |       408.44 |    76.91 | 102m 13s | Model saved         
     500 |   8.95e-01 |   5.85e-01 |   2.92e-02 |    2.81e-01 |   9.50e-03 |       408.44 |    71.24 | 101m 40s | Model saved         
     550 |   6.70e-01 |   5.09e-01 |   3.47e-03 |    1.57e-01 |   9.50e-03 |       408.44 |    73.52 | 101m 19s | Model saved (best)  
     600 |   6.23e-01 |   4.69e-01 |   3.37e-03 |    1.51e-01 |   9.50e-03 |       408.44 |    63.53 |  99m 35s | Model saved (best)  
     650 |   6.60e-01 |   4.29e-01 |   2.53e-03 |    2.28e-01 |   9.50e-03 |       408.45 |    65.99 |  98m 15s | Model saved         
     700 |   6.43e-01 |   3.81e-01 |   4.68e-03 |    2.58e-01 |   9.50e-03 |       408.45 |    63.08 |  96m 38s | Model saved         
     750 |   6.13e-01 |   3.64e-01 |   8.84e-03 |    2.40e-01 |   9.50e-03 |       408.44 |    64.54 |  95m 14s | Model saved (best)  
     800 |   8.16e-01 |   3.53e-01 |   1.71e-02 |    4.46e-01 |   9.50e-03 |       408.44 |    65.07 |  93m 56s | Model saved         
     850 |   1.53e+01 |   2.64e+00 |   3.36e+00 |    9.31e+00 |   9.50e-03 |       408.44 |    79.62 |  93m 50s | Model saved         
     900 |   1.74e+01 |   1.90e+00 |   1.21e+00 |    1.43e+01 |   9.50e-03 |       408.44 |    60.49 |  92m 08s | Model saved         
     950 |   2.21e+00 |   1.38e+00 |   5.81e-02 |    7.72e-01 |   9.50e-03 |       408.44 |    66.84 |  90m 59s | Model saved         
    1000 |   1.38e+00 |   1.01e+00 |   1.89e-02 |    3.52e-01 |   9.03e-03 |       408.44 |    69.84 |  90m 01s | Model saved         
    1050 |   1.14e+00 |   8.54e-01 |   5.40e-03 |    2.82e-01 |   9.03e-03 |       408.45 |    59.80 |  88m 24s | Model saved         
    1100 |   1.01e+00 |   7.55e-01 |   4.44e-03 |    2.49e-01 |   9.03e-03 |       408.45 |    76.88 |  87m 52s | Model saved         
    1150 |   9.12e-01 |   6.88e-01 |   5.96e-03 |    2.18e-01 |   9.03e-03 |       408.44 |    80.27 |  87m 27s | Model saved         
    1200 |   7.97e-01 |   6.24e-01 |   1.86e-03 |    1.71e-01 |   8.57e-03 |       408.44 |    72.64 |  86m 33s | Model saved         
    1250 |   7.77e-01 |   5.80e-01 |   1.64e-03 |    1.95e-01 |   8.57e-03 |       408.45 |    89.07 |  86m 27s | Model saved         
    1300 |   7.34e-01 |   5.39e-01 |   1.44e-03 |    1.94e-01 |   8.57e-03 |       408.45 |    74.37 |  85m 32s | Model saved         
    1350 |   8.04e-01 |   5.11e-01 |   3.51e-03 |    2.90e-01 |   8.57e-03 |       408.46 |    87.65 |  85m 12s | Model saved         
    1400 |   1.61e+00 |   6.23e-01 |   1.23e-02 |    9.71e-01 |   8.15e-03 |       408.42 |    84.64 |  84m 40s | Model saved         
    1450 |   6.44e-01 |   4.95e-01 |   2.76e-03 |    1.46e-01 |   8.15e-03 |       408.42 |    73.97 |  83m 38s | Model saved         
    1500 |   5.59e-01 |   4.59e-01 |   1.50e-03 |    9.87e-02 |   8.15e-03 |       408.42 |    56.28 |  81m 53s | Model saved (best)  
    1550 |   5.17e-01 |   4.35e-01 |   1.95e-03 |    8.08e-02 |   8.15e-03 |       408.44 |    50.40 |  79m 59s | Model saved (best)  
    1600 |   4.80e-01 |   4.12e-01 |   1.22e-03 |    6.68e-02 |   7.74e-03 |       408.44 |    58.60 |  78m 26s | Model saved (best)  
    1650 |   4.58e-01 |   3.95e-01 |   1.74e-03 |    6.14e-02 |   7.74e-03 |       408.45 |    61.32 |  77m 01s | Model saved (best)  
    1700 |   4.34e-01 |   3.79e-01 |   9.93e-04 |    5.35e-02 |   7.74e-03 |       408.42 |    57.41 |  75m 30s | Model saved (best)  
    1750 |   4.23e-01 |   3.67e-01 |   1.72e-03 |    5.42e-02 |   7.74e-03 |       408.44 |    65.73 |  74m 16s | Model saved (best)  
    1800 |   4.04e-01 |   3.55e-01 |   9.64e-04 |    4.77e-02 |   7.74e-03 |       408.44 |    61.84 |  72m 55s | Model saved (best)  
    1850 |   3.97e-01 |   3.46e-01 |   1.31e-03 |    4.91e-02 |   7.74e-03 |       408.45 |    65.37 |  71m 42s | Model saved (best)  
    1900 |   3.85e-01 |   3.38e-01 |   1.45e-03 |    4.54e-02 |   7.74e-03 |       408.45 |    51.66 |  70m 06s | Model saved (best)  
    1950 |   3.82e-01 |   3.31e-01 |   1.88e-03 |    4.88e-02 |   7.74e-03 |       408.46 |    64.95 |  68m 54s | Model saved (best)  
    2000 |   3.74e-01 |   3.22e-01 |   2.12e-03 |    4.96e-02 |   7.74e-03 |       408.46 |    60.94 |  67m 36s | Model saved (best)  
    2050 |   3.65e-01 |   3.16e-01 |   1.94e-03 |    4.77e-02 |   7.74e-03 |       408.44 |    63.06 |  66m 22s | Model saved (best)  
    2100 |   3.52e-01 |   3.06e-01 |   2.18e-03 |    4.34e-02 |   7.74e-03 |       408.44 |    55.64 |  64m 58s | Model saved (best)  
    2150 |   3.46e-01 |   3.00e-01 |   3.77e-03 |    4.25e-02 |   7.74e-03 |       408.45 |    58.58 |  63m 39s | Model saved (best)  
    2200 |   3.32e-01 |   2.92e-01 |   3.22e-03 |    3.70e-02 |   7.74e-03 |       408.45 |    45.60 |  62m 05s | Model saved (best)  
