Training started at 2025-05-28 15:42:28
Logging training to saved/simple_FC_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 3000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | FC                        |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | False                     |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     1.68e+04 |     3.74e+02 |     1.23e+04 |     4.13e+03 |   1.00e-03 |        20.55 |     0.67 |      N/A | Model saved (best)  
      50 |     2.57e+03 |     5.65e+02 |     1.41e+03 |     5.95e+02 |   1.00e-03 |        20.55 |    12.14 |  12m 36s | Model saved (best)  
     100 |     3.98e+02 |     3.42e+02 |     2.41e+01 |     3.12e+01 |   1.00e-03 |        20.55 |    13.92 |  12m 55s | Model saved (best)  
     150 |     3.18e+02 |     2.95e+02 |     1.04e+01 |     1.33e+01 |   1.00e-03 |        20.55 |    11.44 |  12m 05s | Model saved (best)  
     200 |     2.98e+02 |     2.84e+02 |     5.17e+00 |     7.92e+00 |   1.00e-03 |        20.55 |    13.40 |  12m 02s | Model saved (best)  
     250 |     2.92e+02 |     2.80e+02 |     4.80e+00 |     6.71e+00 |   1.00e-03 |        20.55 |    14.41 |  12m 06s | Model saved (best)  
     300 |     2.83e+02 |     2.76e+02 |     2.59e+00 |     4.44e+00 |   1.00e-03 |        20.55 |    13.79 |  11m 58s | Model saved (best)  
     350 |     2.82e+02 |     2.75e+02 |     2.89e+00 |     3.96e+00 |   1.00e-03 |        20.55 |    15.69 |  12m 03s | Model saved (best)  
     400 |     2.83e+02 |     2.76e+02 |     3.02e+00 |     4.02e+00 |   1.00e-03 |        20.55 |    14.83 |  11m 57s | Model saved         
     450 |     2.81e+02 |     2.75e+02 |     2.97e+00 |     3.57e+00 |   1.00e-03 |        20.55 |    16.71 |  12m 00s | Model saved (best)  
     500 |     2.86e+02 |     2.77e+02 |     4.69e+00 |     4.10e+00 |   1.00e-03 |        20.55 |    17.68 |  12m 03s | Model saved         
     550 |     2.82e+02 |     2.75e+02 |     3.68e+00 |     3.79e+00 |   1.00e-03 |        20.55 |    15.73 |  11m 55s | Model saved         
     600 |     2.77e+02 |     2.72e+02 |     2.01e+00 |     2.71e+00 |   8.00e-04 |        20.55 |    18.85 |  11m 57s | Model saved (best)  
     650 |     2.79e+02 |     2.74e+02 |     1.93e+00 |     2.80e+00 |   8.00e-04 |        20.55 |    23.21 |  12m 12s | Model saved         
     700 |     2.78e+02 |     2.73e+02 |     2.09e+00 |     2.78e+00 |   8.00e-04 |        20.55 |    20.95 |  12m 14s | Model saved         
     750 |     2.77e+02 |     2.73e+02 |     1.99e+00 |     2.33e+00 |   8.00e-04 |        20.55 |    20.23 |  12m 11s | Model saved         
     800 |     2.80e+02 |     2.75e+02 |     2.11e+00 |     2.36e+00 |   8.00e-04 |        20.55 |    21.53 |  12m 09s | Model saved         
     850 |     2.78e+02 |     2.73e+02 |     2.71e+00 |     2.29e+00 |   8.00e-04 |        20.55 |    19.24 |  11m 59s | Model saved         
     900 |     2.77e+02 |     2.73e+02 |     1.97e+00 |     2.32e+00 |   8.00e-04 |        20.55 |    14.22 |  11m 37s | Model saved         
     950 |     2.78e+02 |     2.74e+02 |     1.74e+00 |     2.38e+00 |   8.00e-04 |        20.55 |    13.69 |  11m 14s | Model saved         
    1000 |     2.75e+02 |     2.71e+02 |     2.37e+00 |     2.40e+00 |   8.00e-04 |        20.55 |    15.22 |  10m 55s | Model saved (best)  
    1050 |     2.80e+02 |     2.75e+02 |     2.72e+00 |     2.45e+00 |   8.00e-04 |        20.55 |    15.21 |  10m 36s | Model saved         
    1100 |     2.80e+02 |     2.74e+02 |     3.51e+00 |     2.89e+00 |   8.00e-04 |        20.55 |    15.03 |  10m 18s | Model saved         
    1150 |     2.79e+02 |     2.75e+02 |     1.96e+00 |     2.65e+00 |   6.40e-04 |        20.55 |    14.52 |   9m 59s | Model saved         
    1200 |     2.75e+02 |     2.71e+02 |     1.72e+00 |     2.34e+00 |   6.40e-04 |        20.55 |    13.67 |   9m 39s | Model saved (best)  
    1250 |     2.78e+02 |     2.73e+02 |     1.98e+00 |     2.61e+00 |   6.40e-04 |        20.55 |    14.65 |   9m 21s | Model saved         
    1300 |     2.76e+02 |     2.71e+02 |     1.91e+00 |     2.37e+00 |   6.40e-04 |        20.55 |    15.10 |   9m 03s | Model saved         
    1350 |     2.80e+02 |     2.75e+02 |     1.98e+00 |     2.53e+00 |   6.40e-04 |        20.55 |    17.54 |   8m 49s | Model saved         
    1400 |     2.78e+02 |     2.73e+02 |     1.81e+00 |     2.44e+00 |   5.12e-04 |        20.55 |    15.92 |   8m 33s | Model saved         
    1450 |     2.77e+02 |     2.73e+02 |     1.56e+00 |     2.41e+00 |   5.12e-04 |        20.55 |    15.73 |   8m 17s | Model saved         
    1500 |     2.78e+02 |     2.73e+02 |     2.09e+00 |     2.49e+00 |   5.12e-04 |        20.55 |    14.52 |   7m 59s | Model saved         
    1550 |     2.79e+02 |     2.74e+02 |     2.19e+00 |     2.54e+00 |   5.12e-04 |        20.55 |    13.41 |   7m 41s | Model saved         
    1600 |     2.77e+02 |     2.72e+02 |     2.00e+00 |     2.77e+00 |   5.12e-04 |        20.55 |    14.43 |   7m 24s | Model saved         
    1650 |     2.80e+02 |     2.76e+02 |     1.75e+00 |     2.42e+00 |   5.12e-04 |        20.55 |    16.76 |   7m 09s | Model saved         
    1700 |     2.78e+02 |     2.74e+02 |     2.04e+00 |     2.44e+00 |   5.12e-04 |        20.55 |    16.75 |   6m 53s | Model saved         
