Training started at 2025-05-28 15:58:39
Logging training to saved/simple_ResLSTM_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 2000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | ResLSTM                   |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | False                     |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     2.73e+02 |     2.64e+02 |     4.44e+00 |     4.22e+00 |   1.00e-03 |       394.01 |     2.23 |      N/A | Model saved (best)  
      50 |     5.12e+02 |     2.90e+02 |     1.60e+02 |     6.28e+01 |   1.00e-03 |       394.01 |    66.69 |  44m 50s | Model saved         
     100 |     2.79e+02 |     2.73e+02 |     2.42e+00 |     3.70e+00 |   1.00e-03 |       394.01 |    62.33 |  41m 35s | Model saved         
     150 |     2.75e+02 |     2.72e+02 |     1.46e+00 |     2.47e+00 |   1.00e-03 |       394.01 |    62.81 |  39m 54s | Model saved         
     200 |     2.75e+02 |     2.70e+02 |     1.76e+00 |     2.93e+00 |   1.00e-03 |       394.01 |    84.49 |  41m 48s | Model saved         
     250 |     2.80e+02 |     2.71e+02 |     3.60e+00 |     4.91e+00 |   1.00e-03 |       394.01 |    64.78 |  40m 04s | Model saved         
     300 |     2.74e+02 |     2.69e+02 |     1.61e+00 |     2.88e+00 |   1.00e-03 |       394.01 |    65.87 |  38m 40s | Model saved         
     350 |     2.75e+02 |     2.71e+02 |     1.45e+00 |     2.47e+00 |   1.00e-03 |       394.01 |    81.99 |  38m 36s | Model saved         
     400 |     2.73e+02 |     2.69e+02 |     1.51e+00 |     2.35e+00 |   8.00e-04 |       394.01 |    67.36 |  37m 15s | Model saved         
     450 |     2.75e+02 |     2.71e+02 |     1.55e+00 |     2.38e+00 |   8.00e-04 |       394.01 |    71.24 |  36m 10s | Model saved         
     500 |     2.73e+02 |     2.69e+02 |     1.56e+00 |     2.60e+00 |   8.00e-04 |       394.01 |    73.43 |  35m 10s | Model saved         
     550 |     2.74e+02 |     2.70e+02 |     1.60e+00 |     2.71e+00 |   8.00e-04 |       394.01 |    74.97 |  34m 12s | Model saved         
     600 |     2.74e+02 |     2.70e+02 |     1.59e+00 |     2.72e+00 |   8.00e-04 |       394.01 |    81.16 |  33m 26s | Model saved         
     650 |     2.73e+02 |     2.69e+02 |     1.53e+00 |     2.41e+00 |   8.00e-04 |       394.01 |    74.96 |  32m 21s | Model saved         
     700 |     2.74e+02 |     2.69e+02 |     2.11e+00 |     3.18e+00 |   6.40e-04 |       394.01 |    73.80 |  31m 13s | Model saved         
     750 |     2.73e+02 |     2.69e+02 |     1.57e+00 |     2.64e+00 |   6.40e-04 |       394.01 |    65.92 |  29m 50s | Model saved         
     800 |     2.71e+02 |     2.67e+02 |     1.76e+00 |     2.59e+00 |   6.40e-04 |       394.01 |    70.39 |  28m 37s | Model saved (best)  
     850 |     2.74e+02 |     2.70e+02 |     1.90e+00 |     2.69e+00 |   6.40e-04 |       394.01 |    75.11 |  27m 30s | Model saved         
     900 |     2.75e+02 |     2.70e+02 |     1.85e+00 |     3.03e+00 |   5.12e-04 |       394.01 |    66.98 |  26m 13s | Model saved         
     950 |     2.73e+02 |     2.69e+02 |     1.76e+00 |     2.94e+00 |   5.12e-04 |       394.01 |    64.87 |  24m 54s | Model saved         
    1000 |     2.74e+02 |     2.70e+02 |     1.58e+00 |     2.65e+00 |   5.12e-04 |       394.01 |    66.41 |  23m 38s | Model saved         
    1050 |     2.74e+02 |     2.69e+02 |     1.52e+00 |     2.75e+00 |   5.12e-04 |       394.01 |    59.04 |  22m 16s | Model saved         
    1100 |     2.74e+02 |     2.69e+02 |     1.70e+00 |     3.04e+00 |   4.10e-04 |       394.01 |    55.53 |  20m 54s | Model saved         
    1150 |     2.76e+02 |     2.71e+02 |     1.71e+00 |     3.39e+00 |   4.10e-04 |       394.01 |    55.99 |  19m 34s | Model saved         
    1200 |     2.73e+02 |     2.69e+02 |     1.51e+00 |     2.65e+00 |   4.10e-04 |       394.01 |    54.74 |  18m 15s | Model saved         
    1250 |     2.74e+02 |     2.70e+02 |     1.53e+00 |     2.66e+00 |   4.10e-04 |       394.01 |    51.67 |  16m 57s | Model saved         
    1300 |     2.72e+02 |     2.68e+02 |     1.65e+00 |     2.87e+00 |   3.28e-04 |       394.01 |    55.89 |  15m 43s | Model saved         
    1350 |     2.74e+02 |     2.70e+02 |     1.60e+00 |     2.66e+00 |   3.28e-04 |       394.01 |    56.94 |  14m 30s | Model saved         
    1400 |     2.74e+02 |     2.70e+02 |     1.78e+00 |     2.98e+00 |   3.28e-04 |       394.01 |    69.06 |  13m 24s | Model saved         
    1450 |     2.74e+02 |     2.70e+02 |     1.55e+00 |     3.00e+00 |   3.28e-04 |       394.01 |    75.14 |  12m 20s | Model saved         
    1500 |     2.74e+02 |     2.69e+02 |     1.54e+00 |     3.10e+00 |   3.28e-04 |       394.01 |    64.01 |  11m 12s | Model saved         
    1550 |     2.74e+02 |     2.69e+02 |     1.53e+00 |     3.05e+00 |   2.62e-04 |       394.01 |    65.27 |  10m 04s | Model saved         
    1600 |     2.77e+02 |     2.72e+02 |     1.48e+00 |     2.85e+00 |   2.62e-04 |       394.01 |    76.16 |   8m 59s | Model saved         
