Training started at 2025-05-28 15:39:54
Logging training to saved/simple_supervised_FC_ReLU\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 3000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | FC                        |
| Depth                     | 5                         |
| Width                     | 256                       |
| Activation                | ReLU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
-------------------------------------------------------------------------------------------------------------------------------------------
       0 |     9.46e+00 |     9.46e+00 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.41 |      N/A | Model saved (best)  
      50 |     1.57e+00 |     1.57e+00 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.56 |      57s | Model saved (best)  
     100 |     5.83e-02 |     5.83e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.61 |      46s | Model saved (best)  
     150 |     3.28e-02 |     3.28e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.59 |      41s | Model saved (best)  
     200 |     2.49e-02 |     2.49e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.64 |      39s | Model saved (best)  
     250 |     1.80e-02 |     1.80e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.66 |      38s | Model saved (best)  
     300 |     1.53e-02 |     1.53e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.63 |      37s | Model saved (best)  
     350 |     1.22e-02 |     1.22e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.69 |      36s | Model saved (best)  
     400 |     1.31e-02 |     1.31e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.63 |      35s | Model saved         
     450 |     1.17e-02 |     1.17e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.80 |      35s | Model saved (best)  
     500 |     1.05e-02 |     1.05e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.60 |      34s | Model saved (best)  
     550 |     1.02e-02 |     1.02e-02 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.59 |      33s | Model saved (best)  
     600 |     9.56e-03 |     9.56e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.65 |      32s | Model saved (best)  
     650 |     8.42e-03 |     8.42e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.58 |      31s | Model saved (best)  
     700 |     9.02e-03 |     9.02e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.67 |      30s | Model saved         
     750 |     7.67e-03 |     7.67e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.73 |      30s | Model saved (best)  
     800 |     7.08e-03 |     7.08e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.63 |      29s | Model saved (best)  
     850 |     8.51e-03 |     8.51e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.63 |      28s | Model saved         
     900 |     7.49e-03 |     7.49e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.66 |      28s | Model saved         
     950 |     6.22e-03 |     6.22e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.67 |      27s | Model saved (best)  
    1000 |     6.17e-03 |     6.17e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.66 |      26s | Model saved (best)  
    1050 |     6.83e-03 |     6.83e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.59 |      26s | Model saved         
    1100 |     5.55e-03 |     5.55e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.58 |      25s | Model saved (best)  
    1150 |     5.62e-03 |     5.62e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.68 |      24s | Model saved         
    1200 |     5.68e-03 |     5.68e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.59 |      23s | Model saved         
    1250 |     4.84e-03 |     4.84e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.64 |      23s | Model saved (best)  
    1300 |     5.43e-03 |     5.43e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.66 |      22s | Model saved         
    1350 |     5.63e-03 |     5.63e-03 |     0.00e+00 |     0.00e+00 |   1.00e-03 |        20.56 |     0.66 |      21s | Model saved         
    1400 |     5.56e-03 |     5.56e-03 |     0.00e+00 |     0.00e+00 |   8.00e-04 |        20.56 |     0.58 |      21s | Model saved         
    1450 |     5.78e-03 |     5.78e-03 |     0.00e+00 |     0.00e+00 |   8.00e-04 |        20.56 |     0.62 |      20s | Model saved         
    1500 |     4.82e-03 |     4.82e-03 |     0.00e+00 |     0.00e+00 |   8.00e-04 |        20.56 |     0.53 |      19s | Model saved (best)  
    1550 |     4.48e-03 |     4.48e-03 |     0.00e+00 |     0.00e+00 |   8.00e-04 |        20.56 |     0.59 |      18s | Model saved (best)  
    1600 |     5.84e-03 |     5.84e-03 |     0.00e+00 |     0.00e+00 |   8.00e-04 |        20.56 |     0.59 |      18s | Model saved         
    1650 |     5.09e-03 |     5.09e-03 |     0.00e+00 |     0.00e+00 |   8.00e-04 |        20.56 |     0.60 |      17s | Model saved         
    1700 |     6.94e-03 |     6.94e-03 |     0.00e+00 |     0.00e+00 |   8.00e-04 |        20.56 |     0.66 |      16s | Model saved         
    1750 |     5.05e-03 |     5.05e-03 |     0.00e+00 |     0.00e+00 |   6.40e-04 |        20.56 |     0.49 |      16s | Model saved         
    1800 |     4.08e-03 |     4.08e-03 |     0.00e+00 |     0.00e+00 |   6.40e-04 |        20.56 |     0.55 |      15s | Model saved (best)  
    1850 |     4.64e-03 |     4.64e-03 |     0.00e+00 |     0.00e+00 |   6.40e-04 |        20.56 |     0.65 |      14s | Model saved         
    1900 |     4.19e-03 |     4.19e-03 |     0.00e+00 |     0.00e+00 |   6.40e-04 |        20.56 |     0.65 |      14s | Model saved         
    1950 |     4.10e-03 |     4.10e-03 |     0.00e+00 |     0.00e+00 |   6.40e-04 |        20.56 |     0.62 |      13s | Model saved         
