Running on device: cuda, Parallel training disabled
Attempting to load model from saved_models/aid_2_lstmwithsubnets_naislstm_naisnet_GELU
Loaded model checkpoint from epoch 1 with training state
Training started at 2025-06-22 10:00:33
Logging training to saved_models/aid_2_lstmwithsubnets_naislstm_naisnet_GELU/training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 100000                    |
| Learning Rate             | 0.01                      |
| Adaptive LR               | True                      |
| Adaptive Factor           | 0.95                      |
| lambda_Y0 (Y0 loss)       | 1                         |
| lambda_Y (Y loss)         | 1                         |
| lambda_dY (Spatial loss)  | 0                         |
| lambda_dYt (Temporal loss)| 0                         |
| lambda_T (Terminal loss)  | 0.001                     |
| lambda_TG (Gradient loss) | 0                         |
| lambda_pinn (PINN loss)   | 0                         |
| lambda_reg (Reg loss)     | 0                         |
| lambda_cost (Cost loss)   | 1                         |
| Batch Size per Epoch      | 1024                      |
| Batch Size per Rank       | 1024                      |
| Architecture              | LSTMWITHSUBNETS           |
| Depth                     | 2                         |
| Width                     | 32                        |
| Activation                | GELU                      |
| T                         | 1.0                       |
| N                         | 40                        |
| Supervised                | False                     |
+---------------------------+---------------------------+

   Epoch |      Y val |      q val | Total loss |    Y0 loss |     Y loss |    T. loss |   cost loss |         LR |  Memory [MB] | Time [s] |        ETA | Status              
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Resuming training from epoch 2/100000
Current learning rate: 1.000000e-02
Lowest loss so far: 7.621932e+06
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      50 |   6.46e+05 |   3.07e+03 |   2.39e+05 |   2.28e+05 |   1.67e+04 |   8.37e+05 |   -5.53e+03 |   1.00e-02 |        70.52 |    15.59 |   519m 24s | Model saved (best)  
     100 |   1.57e+05 |   3.98e+02 |   1.10e+04 |   3.22e+03 |   1.36e+04 |   1.32e+05 |   -5.92e+03 |   1.00e-02 |        70.52 |    14.24 |   496m 44s | Model saved (best)  
     150 |   1.50e+05 |   2.31e+02 |   1.03e+04 |   2.14e+03 |   1.41e+04 |   6.20e+04 |   -5.94e+03 |   1.00e-02 |        70.54 |    17.30 |   522m 56s | Model saved (best)  
     200 |   1.53e+05 |   1.78e+02 |   1.16e+04 |   2.60e+03 |   1.49e+04 |   4.45e+04 |   -5.94e+03 |   1.00e-02 |        70.52 |    14.12 |   509m 26s | Model saved         
     250 |   1.50e+05 |   1.58e+02 |   1.20e+04 |   2.48e+03 |   1.55e+04 |   3.08e+04 |   -5.95e+03 |   1.00e-02 |        70.52 |    17.24 |   522m 01s | Model saved         
     300 |   1.47e+05 |   1.39e+02 |   1.23e+04 |   2.69e+03 |   1.56e+04 |   2.48e+04 |   -5.95e+03 |   9.50e-03 |        70.52 |    14.16 |   513m 15s | Model saved         
     350 |   1.42e+05 |   1.22e+02 |   1.26e+04 |   2.46e+03 |   1.61e+04 |   1.79e+04 |   -5.95e+03 |   9.50e-03 |        70.52 |    18.06 |   525m 25s | Model saved         
     400 |   1.39e+05 |   1.15e+02 |   1.28e+04 |   2.82e+03 |   1.59e+04 |   1.46e+04 |   -5.95e+03 |   9.50e-03 |        70.52 |    13.81 |   516m 49s | Model saved         
     450 |   1.39e+05 |   1.08e+02 |   1.28e+04 |   2.56e+03 |   1.62e+04 |   1.18e+04 |   -5.95e+03 |   9.50e-03 |        70.52 |    17.21 |   522m 38s | Model saved         
     500 |   1.36e+05 |   1.02e+02 |   1.32e+04 |   2.92e+03 |   1.62e+04 |   9.95e+03 |   -5.95e+03 |   9.03e-03 |        70.52 |    14.31 |   517m 36s | Model saved         
     550 |   1.37e+05 |   9.98e+01 |   1.31e+04 |   2.57e+03 |   1.64e+04 |   8.87e+03 |   -5.95e+03 |   9.03e-03 |        70.52 |    18.25 |   525m 19s | Model saved         
     600 |   1.34e+05 |   9.45e+01 |   1.35e+04 |   3.05e+03 |   1.64e+04 |   7.91e+03 |   -5.95e+03 |   9.03e-03 |        70.52 |    13.89 |   519m 39s | Model saved         
     650 |   1.36e+05 |   9.26e+01 |   1.33e+04 |   2.62e+03 |   1.66e+04 |   7.47e+03 |   -5.96e+03 |   9.03e-03 |        70.54 |    17.27 |   523m 25s | Model saved         
     700 |   1.33e+05 |   8.86e+01 |   1.38e+04 |   3.17e+03 |   1.66e+04 |   6.69e+03 |   -5.95e+03 |   8.57e-03 |        70.54 |    14.05 |   519m 01s | Model saved         
     750 |   1.35e+05 |   8.79e+01 |   1.35e+04 |   2.64e+03 |   1.68e+04 |   6.57e+03 |   -5.96e+03 |   8.57e-03 |        70.54 |    17.26 |   522m 14s | Model saved         
     800 |   1.32e+05 |   8.42e+01 |   1.40e+04 |   3.28e+03 |   1.67e+04 |   5.90e+03 |   -5.95e+03 |   8.57e-03 |        70.54 |    13.93 |   518m 08s | Model saved         
     850 |   1.35e+05 |   8.30e+01 |   1.37e+04 |   2.65e+03 |   1.70e+04 |   5.87e+03 |   -5.96e+03 |   8.57e-03 |        70.54 |    17.76 |   521m 57s | Model saved         
     900 |   1.33e+05 |   8.03e+01 |   1.43e+04 |   3.35e+03 |   1.69e+04 |   5.32e+03 |   -5.95e+03 |   8.15e-03 |        70.54 |    13.98 |   518m 21s | Model saved         
     950 |   1.35e+05 |   7.91e+01 |   1.39e+04 |   2.67e+03 |   1.72e+04 |   5.36e+03 |   -5.96e+03 |   8.15e-03 |        70.54 |    17.32 |   520m 55s | Model saved         
    1000 |   1.32e+05 |   7.73e+01 |   1.45e+04 |   3.42e+03 |   1.71e+04 |   4.97e+03 |   -5.95e+03 |   8.15e-03 |        70.54 |    13.81 |   517m 24s | Model saved         
    1050 |   1.35e+05 |   7.62e+01 |   1.41e+04 |   2.68e+03 |   1.73e+04 |   5.07e+03 |   -5.96e+03 |   8.15e-03 |        70.54 |    18.79 |   522m 01s | Model saved         
    1100 |   1.32e+05 |   7.45e+01 |   1.47e+04 |   3.45e+03 |   1.72e+04 |   4.68e+03 |   -5.95e+03 |   7.74e-03 |        70.54 |    13.88 |   518m 50s | Model saved         
    1150 |   1.35e+05 |   7.34e+01 |   1.42e+04 |   2.68e+03 |   1.75e+04 |   4.76e+03 |   -5.96e+03 |   7.74e-03 |        70.54 |    17.79 |   521m 31s | Model saved         
    1200 |   1.32e+05 |   7.21e+01 |   1.49e+04 |   3.48e+03 |   1.74e+04 |   4.50e+03 |   -5.95e+03 |   7.74e-03 |        70.52 |    14.14 |   518m 56s | Model saved         
    1250 |   1.35e+05 |   7.16e+01 |   1.44e+04 |   2.67e+03 |   1.76e+04 |   4.61e+03 |   -5.96e+03 |   7.74e-03 |        70.54 |    17.26 |   520m 39s | Model saved         
    1300 |   1.32e+05 |   7.01e+01 |   1.50e+04 |   3.48e+03 |   1.75e+04 |   4.30e+03 |   -5.95e+03 |   7.35e-03 |        70.52 |    14.53 |   518m 45s | Model saved         
    1350 |   1.35e+05 |   6.92e+01 |   1.45e+04 |   2.68e+03 |   1.78e+04 |   4.38e+03 |   -5.96e+03 |   7.35e-03 |        70.54 |    17.22 |   520m 15s | Model saved         
    1400 |   1.31e+05 |   6.80e+01 |   1.51e+04 |   3.51e+03 |   1.76e+04 |   4.20e+03 |   -5.95e+03 |   7.35e-03 |        70.52 |    14.10 |   517m 58s | Model saved         
    1450 |   1.35e+05 |   6.72e+01 |   1.46e+04 |   2.66e+03 |   1.79e+04 |   4.30e+03 |   -5.96e+03 |   7.35e-03 |        70.52 |    17.30 |   519m 27s | Model saved         
    1500 |   1.31e+05 |   6.60e+01 |   1.52e+04 |   3.48e+03 |   1.77e+04 |   4.05e+03 |   -5.96e+03 |   6.98e-03 |        70.52 |    14.02 |   517m 14s | Model saved         
    1550 |   1.34e+05 |   6.55e+01 |   1.47e+04 |   2.66e+03 |   1.80e+04 |   4.15e+03 |   -5.96e+03 |   6.98e-03 |        70.54 |    17.80 |   519m 08s | Model saved         
    1600 |   1.31e+05 |   6.45e+01 |   1.54e+04 |   3.51e+03 |   1.79e+04 |   3.98e+03 |   -5.96e+03 |   6.98e-03 |        70.54 |    13.92 |   516m 55s | Model saved         
    1650 |   1.34e+05 |   6.42e+01 |   1.48e+04 |   2.66e+03 |   1.81e+04 |   4.11e+03 |   -5.96e+03 |   6.98e-03 |        70.54 |    18.07 |   518m 57s | Model saved         
    1700 |   1.31e+05 |   6.30e+01 |   1.55e+04 |   3.49e+03 |   1.80e+04 |   3.87e+03 |   -5.96e+03 |   6.63e-03 |        70.54 |    14.10 |   517m 02s | Model saved         
    1750 |   1.34e+05 |   6.29e+01 |   1.49e+04 |   2.67e+03 |   1.82e+04 |   3.98e+03 |   -5.96e+03 |   6.63e-03 |        70.54 |    17.81 |   518m 40s | Model saved         
    1800 |   1.30e+05 |   6.19e+01 |   1.56e+04 |   3.50e+03 |   1.81e+04 |   3.82e+03 |   -5.96e+03 |   6.63e-03 |        70.54 |    14.01 |   516m 45s | Model saved         
    1850 |   1.33e+05 |   6.19e+01 |   1.50e+04 |   2.65e+03 |   1.83e+04 |   3.94e+03 |   -5.96e+03 |   6.63e-03 |        70.54 |    17.35 |   517m 52s | Model saved         
    1900 |   1.30e+05 |   6.07e+01 |   1.57e+04 |   3.49e+03 |   1.82e+04 |   3.73e+03 |   -5.96e+03 |   6.30e-03 |        70.54 |    13.91 |   515m 57s | Model saved         
    1950 |   1.33e+05 |   6.08e+01 |   1.51e+04 |   2.67e+03 |   1.84e+04 |   3.83e+03 |   -5.96e+03 |   6.30e-03 |        70.54 |    17.18 |   516m 51s | Model saved         
    2000 |   1.30e+05 |   5.99e+01 |   1.58e+04 |   3.51e+03 |   1.83e+04 |   3.69e+03 |   -5.96e+03 |   6.30e-03 |        70.54 |    14.03 |   515m 08s | Model saved         
    2050 |   1.33e+05 |   6.04e+01 |   1.52e+04 |   2.66e+03 |   1.85e+04 |   3.81e+03 |   -5.96e+03 |   6.30e-03 |        70.54 |    18.88 |   517m 21s | Model saved         
    2100 |   1.30e+05 |   5.91e+01 |   1.58e+04 |   3.48e+03 |   1.83e+04 |   3.61e+03 |   -5.96e+03 |   5.99e-03 |        70.54 |    13.95 |   515m 37s | Model saved         
    2150 |   1.33e+05 |   5.93e+01 |   1.53e+04 |   2.67e+03 |   1.86e+04 |   3.69e+03 |   -5.96e+03 |   5.99e-03 |        70.54 |    17.16 |   516m 23s | Model saved         
    2200 |   1.29e+05 |   5.85e+01 |   1.59e+04 |   3.48e+03 |   1.85e+04 |   3.56e+03 |   -5.96e+03 |   5.99e-03 |        70.54 |    13.88 |   514m 41s | Model saved         
    2250 |   1.33e+05 |   5.93e+01 |   1.54e+04 |   2.66e+03 |   1.87e+04 |   3.69e+03 |   -5.96e+03 |   5.99e-03 |        70.54 |    17.12 |   515m 23s | Model saved         
    2300 |   1.29e+05 |   5.85e+01 |   1.60e+04 |   3.48e+03 |   1.85e+04 |   3.51e+03 |   -5.96e+03 |   5.69e-03 |        70.54 |    13.98 |   513m 49s | Model saved         
    2350 |   1.32e+05 |   5.92e+01 |   1.55e+04 |   2.66e+03 |   1.88e+04 |   3.61e+03 |   -5.96e+03 |   5.69e-03 |        70.54 |    17.76 |   514m 55s | Model saved         
    2400 |   1.29e+05 |   5.81e+01 |   1.61e+04 |   3.48e+03 |   1.86e+04 |   3.49e+03 |   -5.96e+03 |   5.69e-03 |        70.54 |    13.90 |   513m 21s | Model saved         
    2450 |   1.32e+05 |   5.86e+01 |   1.56e+04 |   2.66e+03 |   1.88e+04 |   3.60e+03 |   -5.96e+03 |   5.69e-03 |        70.54 |    17.17 |   514m 01s | Model saved         
    2500 |   1.29e+05 |   5.72e+01 |   1.61e+04 |   3.45e+03 |   1.86e+04 |   3.42e+03 |   -5.96e+03 |   5.40e-03 |        70.54 |    13.86 |   512m 30s | Model saved         
