Running on device: cuda, Parallel training disabled
Attempting to load model from saved_models/aid_lstmwithsubnets_naislstm_naisnet_GELU
Loaded model checkpoint from epoch 2150 with training state
Training started at 2025-06-21 19:08:47
Logging training to saved_models/aid_lstmwithsubnets_naislstm_naisnet_GELU/training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 100000                    |
| Learning Rate             | 0.01                      |
| Adaptive LR               | True                      |
| Adaptive Factor           | 0.95                      |
| lambda_Y0 (Y0 loss)       | 1                         |
| lambda_Y (Y loss)         | 1                         |
| lambda_dY (Spatial loss)  | 0                         |
| lambda_dYt (Temporal loss)| 0                         |
| lambda_T (Terminal loss)  | 0.001                     |
| lambda_TG (Gradient loss) | 0                         |
| lambda_pinn (PINN loss)   | 0                         |
| lambda_reg (Reg loss)     | 0                         |
| lambda_cost (Cost loss)   | 1                         |
| Batch Size per Epoch      | 1024                      |
| Batch Size per Rank       | 1024                      |
| Architecture              | LSTMWITHSUBNETS           |
| Depth                     | 2                         |
| Width                     | 128                       |
| Activation                | GELU                      |
| T                         | 1.0                       |
| N                         | 144                       |
| Supervised                | False                     |
+---------------------------+---------------------------+

   Epoch |      Y val |      q val | Total loss |    Y0 loss |     Y loss |    T. loss |   cost loss |         LR |  Memory [MB] | Time [s] |        ETA | Status              
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Resuming training from epoch 2151/100000
Current learning rate: 9.500000e-03
Lowest loss so far: 8.317894e+04
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    2200 |   6.24e+05 |   2.31e+03 |   3.57e+04 |   2.93e+03 |   3.97e+04 |   7.50e+04 |   -6.24e+03 |   9.50e-03 |       131.86 |    93.98 |    69m 37s | Model saved (best)  
    2250 |   5.69e+05 |   1.99e+03 |   3.70e+04 |   5.00e+03 |   3.82e+04 |   8.34e+04 |   -6.29e+03 |   9.50e-03 |       131.86 |    82.40 |   127m 42s | Model saved         
    2300 |   5.67e+05 |   1.89e+03 |   3.49e+04 |   3.66e+03 |   3.74e+04 |   8.79e+04 |   -6.29e+03 |   9.50e-03 |       131.86 |    73.49 |   176m 54s | Model saved (best)  
    2350 |   5.51e+05 |   1.82e+03 |   3.61e+04 |   5.29e+03 |   3.70e+04 |   8.79e+04 |   -6.31e+03 |   9.50e-03 |       131.86 |    82.71 |   230m 19s | Model saved         
    2400 |   5.50e+05 |   1.77e+03 |   3.40e+04 |   3.62e+03 |   3.66e+04 |   9.15e+04 |   -6.31e+03 |   9.03e-03 |       131.86 |    74.55 |   275m 56s | Model saved (best)  
    2450 |   5.38e+05 |   1.73e+03 |   3.53e+04 |   5.16e+03 |   3.63e+04 |   9.04e+04 |   -6.31e+03 |   9.03e-03 |       131.86 |    81.62 |   324m 20s | Model saved         
    2500 |   5.37e+05 |   1.70e+03 |   3.34e+04 |   3.58e+03 |   3.60e+04 |   9.34e+04 |   -6.31e+03 |   9.03e-03 |       131.86 |    74.06 |   365m 50s | Model saved (best)  
    2550 |   5.27e+05 |   1.68e+03 |   3.49e+04 |   5.28e+03 |   3.58e+04 |   9.21e+04 |   -6.32e+03 |   9.03e-03 |       131.86 |    81.98 |   410m 41s | Model saved         
    2600 |   5.28e+05 |   1.66e+03 |   3.30e+04 |   3.63e+03 |   3.56e+04 |   9.48e+04 |   -6.32e+03 |   8.57e-03 |       131.86 |    73.81 |   448m 40s | Model saved (best)  
    2650 |   5.19e+05 |   1.64e+03 |   3.44e+04 |   5.13e+03 |   3.55e+04 |   9.28e+04 |   -6.33e+03 |   8.57e-03 |       131.86 |    81.85 |   490m 06s | Model saved         
    2700 |   5.20e+05 |   1.62e+03 |   3.26e+04 |   3.53e+03 |   3.53e+04 |   9.51e+04 |   -6.32e+03 |   8.57e-03 |       131.86 |    73.71 |   525m 02s | Model saved (best)  
    2750 |   5.11e+05 |   1.61e+03 |   3.42e+04 |   5.22e+03 |   3.52e+04 |   9.33e+04 |   -6.33e+03 |   8.57e-03 |       131.86 |    80.91 |   562m 55s | Model saved         
    2800 |   5.13e+05 |   1.59e+03 |   3.23e+04 |   3.58e+03 |   3.50e+04 |   9.55e+04 |   -6.33e+03 |   8.15e-03 |       131.86 |    74.63 |   595m 46s | Model saved (best)  
    2850 |   5.05e+05 |   1.58e+03 |   3.37e+04 |   5.05e+03 |   3.49e+04 |   9.33e+04 |   -6.33e+03 |   8.15e-03 |       131.86 |    81.29 |   631m 12s | Model saved         
    2900 |   5.06e+05 |   1.57e+03 |   3.20e+04 |   3.46e+03 |   3.47e+04 |   9.53e+04 |   -6.33e+03 |   8.15e-03 |       131.86 |    74.69 |   661m 40s | Model saved (best)  
    2950 |   4.99e+05 |   1.56e+03 |   3.35e+04 |   5.13e+03 |   3.46e+04 |   9.33e+04 |   -6.33e+03 |   8.15e-03 |       131.86 |    82.05 |   695m 07s | Model saved         
    3000 |   5.01e+05 |   1.55e+03 |   3.17e+04 |   3.50e+03 |   3.45e+04 |   9.53e+04 |   -6.33e+03 |   7.74e-03 |       131.86 |    74.77 |   723m 28s | Model saved (best)  
    3050 |   4.94e+05 |   1.55e+03 |   3.31e+04 |   4.94e+03 |   3.44e+04 |   9.30e+04 |   -6.34e+03 |   7.74e-03 |       131.86 |    84.34 |   755m 56s | Model saved         
    3100 |   4.95e+05 |   1.54e+03 |   3.14e+04 |   3.38e+03 |   3.42e+04 |   9.48e+04 |   -6.33e+03 |   7.74e-03 |       131.86 |    74.64 |   782m 14s | Model saved (best)  
    3150 |   4.89e+05 |   1.53e+03 |   3.29e+04 |   5.02e+03 |   3.41e+04 |   9.29e+04 |   -6.34e+03 |   7.74e-03 |       131.86 |    81.90 |   811m 23s | Model saved         
    3200 |   4.90e+05 |   1.52e+03 |   3.12e+04 |   3.41e+03 |   3.40e+04 |   9.47e+04 |   -6.33e+03 |   7.35e-03 |       131.86 |    75.04 |   836m 08s | Model saved (best)  
    3250 |   4.84e+05 |   1.51e+03 |   3.25e+04 |   4.81e+03 |   3.39e+04 |   9.25e+04 |   -6.34e+03 |   7.35e-03 |       131.86 |    81.72 |   863m 23s | Model saved         
    3300 |   4.85e+05 |   1.51e+03 |   3.08e+04 |   3.30e+03 |   3.38e+04 |   9.42e+04 |   -6.33e+03 |   7.35e-03 |       131.86 |    74.34 |   886m 10s | Model saved (best)  
    3350 |   4.79e+05 |   1.50e+03 |   3.23e+04 |   4.89e+03 |   3.37e+04 |   9.23e+04 |   -6.34e+03 |   7.35e-03 |       131.86 |    82.31 |   912m 05s | Model saved         
    3400 |   4.80e+05 |   1.49e+03 |   3.06e+04 |   3.33e+03 |   3.35e+04 |   9.40e+04 |   -6.34e+03 |   6.98e-03 |       131.86 |    74.71 |   933m 35s | Model saved (best)  
    3450 |   4.75e+05 |   1.49e+03 |   3.19e+04 |   4.68e+03 |   3.35e+04 |   9.20e+04 |   -6.34e+03 |   6.98e-03 |       131.86 |    82.06 |   957m 51s | Model saved         
    3500 |   4.76e+05 |   1.48e+03 |   3.03e+04 |   3.23e+03 |   3.33e+04 |   9.36e+04 |   -6.34e+03 |   6.98e-03 |       131.86 |    74.12 |   977m 44s | Model saved (best)  
    3550 |   4.71e+05 |   1.47e+03 |   3.18e+04 |   4.75e+03 |   3.33e+04 |   9.18e+04 |   -6.34e+03 |   6.98e-03 |       131.86 |    82.32 |  1000m 45s | Model saved         
    3600 |   4.72e+05 |   1.46e+03 |   3.01e+04 |   3.25e+03 |   3.31e+04 |   9.35e+04 |   -6.34e+03 |   6.63e-03 |       131.86 |    70.08 |  1017m 37s | Model saved (best)  
    3650 |   4.67e+05 |   1.46e+03 |   3.14e+04 |   4.53e+03 |   3.31e+04 |   9.15e+04 |   -6.34e+03 |   6.63e-03 |       131.86 |    83.22 |  1039m 46s | Model saved         
    3700 |   4.67e+05 |   1.45e+03 |   2.98e+04 |   3.16e+03 |   3.29e+04 |   9.32e+04 |   -6.34e+03 |   6.63e-03 |       131.86 |    74.88 |  1057m 40s | Model saved (best)  
    3750 |   4.63e+05 |   1.44e+03 |   3.12e+04 |   4.60e+03 |   3.29e+04 |   9.13e+04 |   -6.35e+03 |   6.63e-03 |       131.86 |    82.18 |  1078m 10s | Model saved         
    3800 |   4.64e+05 |   1.44e+03 |   2.97e+04 |   3.18e+03 |   3.28e+04 |   9.30e+04 |   -6.34e+03 |   6.30e-03 |       131.86 |    75.14 |  1095m 08s | Model saved (best)  
    3850 |   4.60e+05 |   1.43e+03 |   3.08e+04 |   4.38e+03 |   3.27e+04 |   9.10e+04 |   -6.35e+03 |   6.30e-03 |       131.86 |    81.97 |  1114m 28s | Model saved         
    3900 |   4.60e+05 |   1.42e+03 |   2.94e+04 |   3.10e+03 |   3.26e+04 |   9.27e+04 |   -6.34e+03 |   6.30e-03 |       131.86 |    75.23 |  1130m 30s | Model saved (best)  
    3950 |   4.56e+05 |   1.42e+03 |   3.07e+04 |   4.44e+03 |   3.25e+04 |   9.09e+04 |   -6.35e+03 |   6.30e-03 |       131.86 |    82.16 |  1148m 55s | Model saved         
    4000 |   4.56e+05 |   1.41e+03 |   2.93e+04 |   3.11e+03 |   3.24e+04 |   9.26e+04 |   -6.35e+03 |   5.99e-03 |       131.86 |    75.06 |  1163m 59s | Model saved (best)  
    4050 |   4.53e+05 |   1.40e+03 |   3.04e+04 |   4.24e+03 |   3.24e+04 |   9.06e+04 |   -6.35e+03 |   5.99e-03 |       131.86 |    84.71 |  1182m 28s | Model saved         
    4100 |   4.53e+05 |   1.39e+03 |   2.91e+04 |   3.04e+03 |   3.23e+04 |   9.24e+04 |   -6.35e+03 |   5.99e-03 |       131.86 |    74.86 |  1196m 37s | Model saved (best)  
    4150 |   4.49e+05 |   1.39e+03 |   3.03e+04 |   4.29e+03 |   3.22e+04 |   9.05e+04 |   -6.35e+03 |   5.99e-03 |       131.86 |    82.19 |  1213m 13s | Model saved         
    4200 |   4.49e+05 |   1.38e+03 |   2.89e+04 |   3.05e+03 |   3.21e+04 |   9.22e+04 |   -6.35e+03 |   5.69e-03 |       131.86 |    74.29 |  1226m 24s | Model saved (best)  
    4250 |   4.46e+05 |   1.38e+03 |   2.99e+04 |   4.10e+03 |   3.21e+04 |   9.02e+04 |   -6.35e+03 |   5.69e-03 |       131.86 |    82.29 |  1242m 14s | Model saved         
    4300 |   4.46e+05 |   1.37e+03 |   2.87e+04 |   2.99e+03 |   3.20e+04 |   9.20e+04 |   -6.35e+03 |   5.69e-03 |       131.86 |    75.83 |  1255m 17s | Model saved (best)  
    4350 |   4.43e+05 |   1.36e+03 |   2.98e+04 |   4.14e+03 |   3.19e+04 |   9.00e+04 |   -6.36e+03 |   5.69e-03 |       131.86 |    82.16 |  1270m 19s | Model saved         
    4400 |   4.43e+05 |   1.35e+03 |   2.85e+04 |   2.99e+03 |   3.18e+04 |   9.18e+04 |   -6.35e+03 |   5.40e-03 |       131.86 |    74.81 |  1282m 19s | Model saved (best)  
    4450 |   4.40e+05 |   1.35e+03 |   2.95e+04 |   3.97e+03 |   3.18e+04 |   8.97e+04 |   -6.36e+03 |   5.40e-03 |       131.86 |    81.90 |  1296m 33s | Model saved         
    4500 |   4.39e+05 |   1.34e+03 |   2.83e+04 |   2.94e+03 |   3.17e+04 |   9.16e+04 |   -6.35e+03 |   5.40e-03 |       131.86 |    75.09 |  1308m 02s | Model saved (best)  
    4550 |   4.36e+05 |   1.33e+03 |   2.94e+04 |   4.01e+03 |   3.16e+04 |   8.95e+04 |   -6.36e+03 |   5.40e-03 |       131.86 |    82.14 |  1321m 42s | Model saved         
    4600 |   4.36e+05 |   1.32e+03 |   2.82e+04 |   2.94e+03 |   3.15e+04 |   9.13e+04 |   -6.35e+03 |   5.13e-03 |       131.86 |    74.95 |  1332m 33s | Model saved (best)  
    4650 |   4.33e+05 |   1.32e+03 |   2.91e+04 |   3.86e+03 |   3.15e+04 |   8.90e+04 |   -6.36e+03 |   5.13e-03 |       131.86 |    83.15 |  1345m 57s | Model saved         
    4700 |   4.33e+05 |   1.31e+03 |   2.80e+04 |   2.90e+03 |   3.14e+04 |   9.08e+04 |   -6.36e+03 |   5.13e-03 |       131.86 |    75.80 |  1356m 33s | Model saved (best)  
    4750 |   4.31e+05 |   1.31e+03 |   2.89e+04 |   3.89e+03 |   3.13e+04 |   8.86e+04 |   -6.36e+03 |   5.13e-03 |       131.86 |    82.66 |  1369m 12s | Model saved         
    4800 |   4.30e+05 |   1.30e+03 |   2.78e+04 |   2.89e+03 |   3.12e+04 |   9.03e+04 |   -6.36e+03 |   4.88e-03 |       131.86 |    74.76 |  1378m 56s | Model saved (best)  
    4850 |   4.28e+05 |   1.30e+03 |   2.86e+04 |   3.75e+03 |   3.12e+04 |   8.80e+04 |   -6.36e+03 |   4.88e-03 |       131.86 |    81.62 |  1390m 42s | Model saved         
    4900 |   4.28e+05 |   1.29e+03 |   2.76e+04 |   2.85e+03 |   3.10e+04 |   8.96e+04 |   -6.36e+03 |   4.88e-03 |       131.86 |    75.42 |  1400m 11s | Model saved (best)  
    4950 |   4.25e+05 |   1.29e+03 |   2.85e+04 |   3.77e+03 |   3.10e+04 |   8.74e+04 |   -6.36e+03 |   4.88e-03 |       131.86 |    82.13 |  1411m 35s | Model saved         
    5000 |   4.25e+05 |   1.28e+03 |   2.74e+04 |   2.84e+03 |   3.09e+04 |   8.91e+04 |   -6.36e+03 |   4.63e-03 |       131.86 |    75.43 |  1420m 38s | Model saved (best)  
    5050 |   4.23e+05 |   1.28e+03 |   2.82e+04 |   3.65e+03 |   3.09e+04 |   8.69e+04 |   -6.36e+03 |   4.63e-03 |       131.86 |    84.91 |  1432m 26s | Model saved         
    5100 |   4.23e+05 |   1.27e+03 |   2.73e+04 |   2.81e+03 |   3.08e+04 |   8.86e+04 |   -6.36e+03 |   4.63e-03 |       131.86 |    75.66 |  1441m 06s | Model saved (best)  
    5150 |   4.20e+05 |   1.27e+03 |   2.81e+04 |   3.67e+03 |   3.07e+04 |   8.65e+04 |   -6.37e+03 |   4.63e-03 |       131.86 |    82.89 |  1451m 48s | Model saved         
    5200 |   4.20e+05 |   1.26e+03 |   2.71e+04 |   2.80e+03 |   3.06e+04 |   8.82e+04 |   -6.36e+03 |   4.40e-03 |       131.86 |    76.04 |  1460m 12s | Model saved (best)  
