Running on device: cuda, Parallel training disabled
Attempting to load model from saved_models/full_naislstm_GELU
Loaded model checkpoint from epoch 4050 with training state
Training started at 2025-06-27 14:08:54
Logging training to saved_models/full_naislstm_GELU/training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 100000                    |
| Learning Rate             | 0.01                      |
| Adaptive LR               | True                      |
| Adaptive Factor           | 0.95                      |
| lambda_Y0 (Y0 loss)       | 1                         |
| lambda_Y (Y loss)         | 1                         |
| lambda_dY (Spatial loss)  | 0                         |
| lambda_dYt (Temporal loss)| 0                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 0                         |
| lambda_pinn (PINN loss)   | 0                         |
| lambda_reg (Reg loss)     | 0                         |
| lambda_cost (Cost loss)   | 10000                     |
| Batch Size per Epoch      | 1024                      |
| Batch Size per Rank       | 1024                      |
| Architecture              | NAISLSTM                  |
| Depth                     | 2                         |
| Width                     | 128                       |
| Activation                | GELU                      |
| T                         | 1.0                       |
| N                         | 72                        |
| Supervised                | False                     |
+---------------------------+---------------------------+

   Epoch |      Y val |      q val | Total loss |    Y0 loss |     Y loss |    T. loss |   cost loss |         LR |  Memory [MB] | Time [s] |        ETA | Status              
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Resuming training from epoch 4051/100000
Current learning rate: 5.403601e-03
Lowest loss so far: -7.591631e+07
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    4100 |   1.15e+05 |   5.80e+04 |  -7.32e+07 |   3.77e+03 |   8.14e+04 |   3.10e+05 |   -7.36e+03 |   5.40e-03 |       223.47 |    24.78 |     9m 39s | Model saved         
    4150 |   1.03e+05 |   5.52e+04 |  -7.36e+07 |   3.80e+03 |   7.51e+04 |   3.07e+05 |   -7.40e+03 |   5.40e-03 |       223.48 |    26.26 |    19m 38s | Model saved         
    4200 |   8.85e+04 |   5.30e+04 |  -7.42e+07 |   2.46e+03 |   7.38e+04 |   2.71e+05 |   -7.46e+03 |   5.13e-03 |       223.47 |    23.34 |    28m 16s | Model saved         
    4250 |   7.73e+04 |   4.90e+04 |  -7.49e+07 |   2.47e+03 |   7.08e+04 |   2.53e+05 |   -7.52e+03 |   5.13e-03 |       223.47 |    26.55 |    37m 53s | Model saved         
    4300 |   7.37e+04 |   4.55e+04 |  -7.53e+07 |   2.15e+03 |   6.43e+04 |   2.36e+05 |   -7.56e+03 |   5.13e-03 |       223.47 |    23.14 |    46m 01s | Model saved         
    4350 |   7.11e+04 |   4.42e+04 |  -7.55e+07 |   2.31e+03 |   6.23e+04 |   2.36e+05 |   -7.58e+03 |   5.13e-03 |       223.47 |    26.75 |    55m 16s | Model saved         
    4400 |   6.72e+04 |   4.26e+04 |  -7.58e+07 |   1.82e+03 |   5.95e+04 |   2.14e+05 |   -7.60e+03 |   4.88e-03 |       223.47 |    30.50 |    65m 39s | Model saved         
    4450 |   6.23e+04 |   4.02e+04 |  -7.61e+07 |   1.85e+03 |   5.69e+04 |   2.07e+05 |   -7.64e+03 |   4.88e-03 |       223.48 |    26.39 |    74m 20s | Model saved (best)  
    4500 |   5.97e+04 |   3.86e+04 |  -7.63e+07 |   1.67e+03 |   5.37e+04 |   1.97e+05 |   -7.65e+03 |   4.88e-03 |       223.47 |    23.29 |    81m 42s | Model saved (best)  
    4550 |   5.79e+04 |   3.79e+04 |  -7.64e+07 |   1.84e+03 |   5.48e+04 |   2.02e+05 |   -7.66e+03 |   4.88e-03 |       223.48 |    26.14 |    89m 54s | Model saved (best)  
    4600 |   5.47e+04 |   3.30e+04 |  -7.69e+07 |   1.52e+03 |   4.52e+04 |   1.88e+05 |   -7.72e+03 |   4.63e-03 |       223.47 |    23.25 |    96m 55s | Model saved (best)  
    4650 |   5.06e+04 |   2.92e+04 |  -7.73e+07 |   1.90e+03 |   4.04e+04 |   1.96e+05 |   -7.76e+03 |   4.63e-03 |       223.48 |    26.33 |   104m 49s | Model saved (best)  
    4700 |   4.92e+04 |   2.80e+04 |  -7.75e+07 |   1.66e+03 |   3.85e+04 |   1.86e+05 |   -7.77e+03 |   4.63e-03 |       223.47 |    23.34 |   111m 32s | Model saved (best)  
    4750 |   4.87e+04 |   2.79e+04 |  -7.75e+07 |   1.99e+03 |   3.84e+04 |   1.94e+05 |   -7.77e+03 |   4.63e-03 |       223.47 |    26.27 |   119m 05s | Model saved (best)  
    4800 |   4.68e+04 |   2.71e+04 |  -7.76e+07 |   1.65e+03 |   3.74e+04 |   1.82e+05 |   -7.78e+03 |   4.63e-03 |       223.47 |    23.20 |   125m 27s | Model saved (best)  
    4850 |   4.64e+04 |   2.72e+04 |  -7.76e+07 |   1.89e+03 |   3.77e+04 |   1.89e+05 |   -7.78e+03 |   4.63e-03 |       223.48 |    26.41 |   132m 44s | Model saved (best)  
    4900 |   4.45e+04 |   2.63e+04 |  -7.77e+07 |   1.65e+03 |   3.63e+04 |   1.78e+05 |   -7.79e+03 |   4.63e-03 |       223.48 |    23.19 |   138m 48s | Model saved (best)  
    4950 |   4.40e+04 |   2.63e+04 |  -7.77e+07 |   1.85e+03 |   3.62e+04 |   1.85e+05 |   -7.80e+03 |   4.63e-03 |       223.47 |    26.44 |   145m 48s | Model saved (best)  
    5000 |   4.21e+04 |   2.55e+04 |  -7.78e+07 |   1.63e+03 |   3.51e+04 |   1.73e+05 |   -7.81e+03 |   4.63e-03 |       223.47 |    23.03 |   151m 33s | Model saved (best)  
    5050 |   4.18e+04 |   2.56e+04 |  -7.79e+07 |   1.80e+03 |   3.47e+04 |   1.80e+05 |   -7.81e+03 |   4.63e-03 |       223.48 |    28.44 |   158m 53s | Model saved (best)  
    5100 |   4.04e+04 |   2.49e+04 |  -7.79e+07 |   1.62e+03 |   3.40e+04 |   1.69e+05 |   -7.82e+03 |   4.63e-03 |       223.47 |    23.24 |   164m 27s | Model saved (best)  
    5150 |   4.01e+04 |   2.49e+04 |  -7.80e+07 |   1.80e+03 |   3.35e+04 |   1.76e+05 |   -7.82e+03 |   4.63e-03 |       223.48 |    26.25 |   170m 50s | Model saved (best)  
    5200 |   3.85e+04 |   2.42e+04 |  -7.81e+07 |   1.62e+03 |   3.23e+04 |   1.67e+05 |   -7.83e+03 |   4.63e-03 |       223.48 |    23.17 |   176m 08s | Model saved (best)  
    5250 |   3.85e+04 |   2.42e+04 |  -7.81e+07 |   1.82e+03 |   3.19e+04 |   1.74e+05 |   -7.83e+03 |   4.63e-03 |       223.48 |    26.30 |   182m 17s | Model saved (best)  
    5300 |   3.69e+04 |   2.34e+04 |  -7.82e+07 |   1.64e+03 |   3.09e+04 |   1.65e+05 |   -7.83e+03 |   4.63e-03 |       223.47 |    23.17 |   187m 22s | Model saved (best)  
    5350 |   3.69e+04 |   2.35e+04 |  -7.82e+07 |   1.82e+03 |   3.06e+04 |   1.71e+05 |   -7.84e+03 |   4.63e-03 |       223.47 |    26.32 |   193m 16s | Model saved (best)  
    5400 |   3.55e+04 |   2.28e+04 |  -7.82e+07 |   1.62e+03 |   2.97e+04 |   1.61e+05 |   -7.84e+03 |   4.63e-03 |       223.47 |    23.38 |   198m 12s | Model saved (best)  
    5450 |   3.54e+04 |   2.29e+04 |  -7.82e+07 |   1.81e+03 |   2.95e+04 |   1.68e+05 |   -7.84e+03 |   4.63e-03 |       223.48 |    34.62 |   206m 18s | Model saved         
