Running on device: cuda, Parallel training disabled
Loading dynamics config from config/dynamics_configs/full_config.json
------------------------------------------------------------
DYNAMICS CONFIGURATION:
------------------------------------------------------------
dynamics: FullDynamics
T: 1.0
N: 144
dim: 3
dim_W: 2
y0: [100.0, 80.0, 0.0]
mu_P: 0.0
mu_D: 0.0
time_dep_vol: True
use_exact: True
low_vol: True
sigma_P0: 10
sigma_P1: 20
alpha_P: 120.0
beta_P: 40.0
sigma_D0: 30.0
sigma_D1: 50.0
alpha_D: 1600.0
beta_D: 900.0
rho: -0.6
psi: 5.0
gamma: 0.05
nu: 0.042
eta: 10
smooth_control: True
eps: 0.5
schedule_epsilon: True
eps_decay_factor: 0.95
eps_update_every: 1000
analytical_known: True
dt: 0.006944444444444444
------------------------------------------------------------
Attempting to load model from saved_models/4_naislstm_GELU
No model checkpoint file found in saved_models/4_naislstm_GELU
    Expected files: model_best.pth or model_latest.pth
Starting training from scratch.
Saving configuration files...
Configuration saved to saved_models/4_naislstm_GELU
Training started at 2025-07-03 02:57:30
Logging training to saved_models/4_naislstm_GELU/training.log
   Epoch |      Y val |      q val | Total loss |     Y loss |    T. loss |   T.G. loss |   pinn loss |   cost loss |         LR |        Eps |  Memory [MB] | Time [s] |        ETA | Status              
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       1 |   1.43e+08 |   4.31e+06 |   2.16e+10 |   2.50e+06 |   3.59e+09 |    7.34e+06 |    4.54e+07 |    1.79e+06 |   1.00e-02 |   5.00e-01 |     17964.20 |    13.64 |        N/A | Model saved (best)  
      50 |   8.26e+07 |   3.05e+06 |   1.24e+10 |   1.05e+06 |   2.06e+09 |    5.29e+06 |    2.89e+07 |    1.03e+06 |   1.00e-02 |   5.00e-01 |     18268.29 |    78.99 |  3086m 08s | Model saved (best)  
     100 |   3.79e+07 |   4.80e+05 |   9.38e+08 |   1.91e+04 |   1.58e+08 |    8.52e+05 |    2.52e+06 |    7.77e+04 |   1.00e-02 |   5.00e-01 |     18268.29 |    81.22 |  2894m 40s | Model saved (best)  
     150 |   1.24e+07 |   9.37e+04 |   4.49e+07 |   3.20e+03 |   1.71e+07 |    1.30e+05 |    4.83e+05 |    2.72e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |   112.24 |  3174m 06s | Model saved (best)  
     200 |   5.71e+06 |   7.73e+04 |   2.07e+07 |   3.70e+03 |   1.24e+07 |    1.03e+05 |    5.54e+05 |    7.57e+02 |   1.00e-02 |   5.00e-01 |     18268.29 |    79.51 |  3040m 37s | Model saved (best)  
     250 |   3.65e+06 |   5.87e+04 |  -3.71e+06 |   7.39e+03 |   8.64e+06 |    7.30e+04 |    7.28e+05 |   -1.32e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    89.10 |  3023m 50s | Model saved (best)  
     300 |   1.91e+06 |   3.65e+04 |  -3.13e+07 |   1.64e+04 |   4.34e+06 |    3.93e+04 |    9.94e+05 |   -3.67e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |   104.86 |  3099m 25s | Model saved (best)  
     350 |   1.26e+06 |   2.45e+04 |  -4.38e+07 |   1.87e+04 |   2.58e+06 |    2.50e+04 |    8.14e+05 |   -4.72e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |   109.97 |  3177m 10s | Model saved (best)  
     400 |   1.00e+06 |   1.74e+04 |  -5.07e+07 |   1.96e+04 |   1.79e+06 |    1.86e+04 |    5.61e+05 |   -5.31e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    80.13 |  3111m 09s | Model saved (best)  
     450 |   9.68e+05 |   1.48e+04 |  -5.29e+07 |   2.10e+04 |   1.49e+06 |    1.60e+04 |    3.94e+05 |   -5.48e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    87.43 |  3086m 27s | Model saved (best)  
     500 |   8.84e+05 |   1.21e+04 |  -5.55e+07 |   2.41e+04 |   1.22e+06 |    1.36e+04 |    2.94e+05 |   -5.71e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    79.83 |  3041m 10s | Model saved (best)  
     550 |   8.70e+05 |   1.12e+04 |  -5.61e+07 |   2.50e+04 |   1.13e+06 |    1.29e+04 |    2.45e+05 |   -5.75e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    87.08 |  3025m 44s | Model saved (best)  
     600 |   7.77e+05 |   9.91e+03 |  -5.74e+07 |   2.50e+04 |   9.74e+05 |    1.16e+04 |    2.73e+05 |   -5.87e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    79.74 |  2992m 23s | Model saved (best)  
     650 |   9.04e+05 |   1.22e+04 |  -5.55e+07 |   2.43e+04 |   1.11e+06 |    1.27e+04 |    3.06e+05 |   -5.69e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    87.99 |  2984m 57s | Model saved         
     700 |   7.78e+05 |   9.61e+03 |  -5.77e+07 |   2.86e+04 |   9.37e+05 |    1.12e+04 |    2.66e+05 |   -5.89e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    80.39 |  2960m 25s | Model saved (best)  
     750 |   7.56e+05 |   8.17e+03 |  -5.86e+07 |   3.17e+04 |   8.28e+05 |    1.03e+04 |    2.14e+05 |   -5.97e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    88.86 |  2957m 39s | Model saved (best)  
     800 |   8.18e+05 |   9.23e+03 |  -5.82e+07 |   3.28e+04 |   8.31e+05 |    1.02e+04 |    2.13e+05 |   -5.93e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    80.00 |  2936m 45s | Model saved         
     850 |   7.23e+05 |   6.98e+03 |  -5.96e+07 |   2.56e+04 |   7.13e+05 |    9.23e+03 |    1.73e+05 |   -6.05e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    88.49 |  2934m 38s | Model saved (best)  
     900 |   7.39e+05 |   8.00e+03 |  -5.91e+07 |   2.95e+04 |   7.67e+05 |    9.66e+03 |    1.94e+05 |   -6.01e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    80.03 |  2917m 05s | Model saved         
     950 |   7.45e+05 |   7.59e+03 |  -5.92e+07 |   2.75e+04 |   7.45e+05 |    9.48e+03 |    1.58e+05 |   -6.02e+03 |   1.00e-02 |   5.00e-01 |     18268.29 |    88.64 |  2916m 11s | Model saved         
    1000 |   7.37e+05 |   7.58e+03 |  -5.95e+07 |   2.85e+04 |   7.21e+05 |    9.27e+03 |    1.53e+05 |   -6.04e+03 |   1.00e-02 |   4.75e-01 |     18268.29 |    80.45 |  2901m 43s | Model saved         
    1050 |   7.62e+05 |   7.97e+03 |  -5.90e+07 |   3.09e+04 |   7.21e+05 |    9.19e+03 |    1.77e+05 |   -5.99e+03 |   1.00e-02 |   4.75e-01 |     18268.29 |    90.10 |  2903m 40s | Model saved         
    1100 |   7.36e+05 |   6.93e+03 |  -6.01e+07 |   2.73e+04 |   6.51e+05 |    8.66e+03 |    1.55e+05 |   -6.09e+03 |   1.00e-02 |   4.75e-01 |     18268.29 |    79.74 |  2889m 46s | Model saved (best)  
    1150 |   7.06e+05 |   6.90e+03 |  -5.98e+07 |   2.71e+04 |   6.48e+05 |    8.60e+03 |    1.44e+05 |   -6.07e+03 |   1.00e-02 |   4.75e-01 |     18268.29 |    87.53 |  2888m 08s | Model saved         
    1200 |   7.75e+05 |   8.32e+03 |  -5.89e+07 |   3.14e+04 |   7.46e+05 |    9.46e+03 |    2.45e+05 |   -6.00e+03 |   1.00e-02 |   4.75e-01 |     18268.29 |    80.24 |  2876m 30s | Model saved         
    1250 |   7.16e+05 |   6.63e+03 |  -6.00e+07 |   3.04e+04 |   6.34e+05 |    8.54e+03 |    1.70e+05 |   -6.08e+03 |   1.00e-02 |   4.75e-01 |     18268.29 |   115.26 |  2911m 48s | Model saved         
    1300 |   7.25e+05 |   6.91e+03 |  -6.01e+07 |   3.15e+04 |   6.26e+05 |    8.33e+03 |    1.76e+05 |   -6.09e+03 |   1.00e-02 |   4.75e-01 |     18268.29 |   116.16 |  2945m 22s | Model saved (best)  
    1350 |   7.33e+05 |   7.08e+03 |  -5.98e+07 |   3.09e+04 |   6.28e+05 |    8.35e+03 |    1.54e+05 |   -6.06e+03 |   9.50e-03 |   4.75e-01 |     18268.29 |    89.80 |  2944m 13s | Model saved         
    1400 |   7.13e+05 |   6.38e+03 |  -6.05e+07 |   2.61e+04 |   5.86e+05 |    7.99e+03 |    1.40e+05 |   -6.13e+03 |   9.50e-03 |   4.75e-01 |     18268.29 |    80.41 |  2932m 01s | Model saved (best)  
    1450 |   6.90e+05 |   5.94e+03 |  -6.06e+07 |   2.70e+04 |   5.66e+05 |    7.87e+03 |    1.32e+05 |   -6.13e+03 |   9.50e-03 |   4.75e-01 |     18268.29 |    90.27 |  2931m 44s | Model saved (best)  
    1500 |   6.84e+05 |   5.79e+03 |  -6.10e+07 |   2.60e+04 |   5.42e+05 |    7.63e+03 |    1.21e+05 |   -6.17e+03 |   9.50e-03 |   4.75e-01 |     18268.29 |    81.04 |  2921m 16s | Model saved (best)  
    1550 |   7.08e+05 |   6.02e+03 |  -6.06e+07 |   2.69e+04 |   5.54e+05 |    7.73e+03 |    1.18e+05 |   -6.13e+03 |   9.50e-03 |   4.75e-01 |     18268.29 |   103.78 |  2935m 27s | Model saved         
    1600 |   6.69e+05 |   5.93e+03 |  -6.10e+07 |   2.51e+04 |   5.43e+05 |    7.64e+03 |    1.10e+05 |   -6.16e+03 |   9.50e-03 |   4.75e-01 |     18268.29 |   124.81 |  2970m 13s | Model saved         
    1650 |   7.11e+05 |   5.95e+03 |  -6.07e+07 |   2.78e+04 |   5.56e+05 |    7.69e+03 |    1.08e+05 |   -6.14e+03 |   9.50e-03 |   4.75e-01 |     18268.29 |    89.05 |  2967m 13s | Model saved         
    1700 |   7.51e+05 |   6.98e+03 |  -6.02e+07 |   2.99e+04 |   5.88e+05 |    7.90e+03 |    1.56e+05 |   -6.10e+03 |   9.50e-03 |   4.75e-01 |     18268.29 |    81.12 |  2956m 39s | Model saved         
    1750 |   6.67e+05 |   5.96e+03 |  -6.06e+07 |   3.18e+04 |   5.58e+05 |    7.74e+03 |    1.46e+05 |   -6.13e+03 |   9.03e-03 |   4.75e-01 |     18268.29 |    88.53 |  2953m 34s | Model saved         
    1800 |   6.78e+05 |   5.64e+03 |  -6.11e+07 |   2.90e+04 |   5.28e+05 |    7.41e+03 |    1.29e+05 |   -6.18e+03 |   9.03e-03 |   4.75e-01 |     18268.29 |    82.58 |  2945m 08s | Model saved (best)  
    1850 |   6.44e+05 |   4.97e+03 |  -6.14e+07 |   2.60e+04 |   5.09e+05 |    7.30e+03 |    1.21e+05 |   -6.20e+03 |   9.03e-03 |   4.75e-01 |     18268.29 |   138.19 |  2986m 16s | Model saved (best)  
    1900 |   6.72e+05 |   5.46e+03 |  -6.13e+07 |   2.68e+04 |   5.17e+05 |    7.32e+03 |    1.11e+05 |   -6.20e+03 |   9.03e-03 |   4.75e-01 |     18268.29 |    80.42 |  2975m 24s | Model saved         
    1950 |   6.39e+05 |   4.77e+03 |  -6.15e+07 |   2.51e+04 |   4.93e+05 |    7.14e+03 |    1.14e+05 |   -6.22e+03 |   9.03e-03 |   4.75e-01 |     18268.29 |    87.40 |  2970m 53s | Model saved (best)  
    2000 |   6.50e+05 |   5.02e+03 |  -6.16e+07 |   2.54e+04 |   4.94e+05 |    7.08e+03 |    1.06e+05 |   -6.23e+03 |   9.03e-03 |   4.51e-01 |     18268.29 |    79.65 |  2960m 11s | Model saved (best)  
    2050 |   6.37e+05 |   4.94e+03 |  -6.14e+07 |   2.65e+04 |   4.96e+05 |    7.11e+03 |    1.07e+05 |   -6.21e+03 |   9.03e-03 |   4.51e-01 |     18268.29 |    89.80 |  2958m 01s | Model saved         
    2100 |   6.42e+05 |   4.80e+03 |  -6.18e+07 |   2.58e+04 |   4.89e+05 |    6.99e+03 |    9.98e+04 |   -6.24e+03 |   9.03e-03 |   4.51e-01 |     18268.29 |    80.59 |  2948m 44s | Model saved (best)  
    2150 |   6.28e+05 |   4.61e+03 |  -6.17e+07 |   2.62e+04 |   4.74e+05 |    6.88e+03 |    1.04e+05 |   -6.23e+03 |   9.03e-03 |   4.51e-01 |     18268.29 |    87.62 |  2945m 09s | Model saved         
    2200 |   6.37e+05 |   4.80e+03 |  -6.18e+07 |   2.69e+04 |   4.75e+05 |    6.86e+03 |    9.86e+04 |   -6.24e+03 |   9.03e-03 |   4.51e-01 |     18268.29 |    79.73 |  2935m 49s | Model saved (best)  
    2250 |   6.25e+05 |   4.59e+03 |  -6.17e+07 |   2.72e+04 |   4.72e+05 |    6.83e+03 |    9.98e+04 |   -6.23e+03 |   9.03e-03 |   4.51e-01 |     18268.29 |    88.38 |  2933m 06s | Model saved         
    2300 |   6.38e+05 |   4.82e+03 |  -6.18e+07 |   2.73e+04 |   4.69e+05 |    6.78e+03 |    9.55e+04 |   -6.24e+03 |   9.03e-03 |   4.51e-01 |     18268.29 |    80.22 |  2924m 40s | Model saved         
    2350 |   6.24e+05 |   4.58e+03 |  -6.17e+07 |   2.69e+04 |   4.67e+05 |    6.77e+03 |    9.91e+04 |   -6.23e+03 |   8.57e-03 |   4.51e-01 |     18268.29 |    87.68 |  2921m 42s | Model saved         
    2400 |   6.06e+05 |   4.16e+03 |  -6.23e+07 |   2.54e+04 |   4.34e+05 |    6.43e+03 |    9.93e+04 |   -6.29e+03 |   8.57e-03 |   4.51e-01 |     18268.29 |    79.87 |  2913m 30s | Model saved (best)  
    2450 |   6.00e+05 |   4.05e+03 |  -6.22e+07 |   2.59e+04 |   4.37e+05 |    6.48e+03 |    9.77e+04 |   -6.27e+03 |   8.57e-03 |   4.51e-01 |     18268.29 |    88.19 |  2911m 06s | Model saved         
    2500 |   5.97e+05 |   4.00e+03 |  -6.25e+07 |   2.61e+04 |   4.26e+05 |    6.32e+03 |    9.44e+04 |   -6.30e+03 |   8.57e-03 |   4.51e-01 |     18268.29 |    80.79 |  2903m 56s | Model saved (best)  
    2550 |   5.92e+05 |   3.93e+03 |  -6.23e+07 |   2.67e+04 |   4.26e+05 |    6.37e+03 |    9.56e+04 |   -6.28e+03 |   8.57e-03 |   4.51e-01 |     18268.29 |    87.63 |  2901m 21s | Model saved         
    2600 |   5.99e+05 |   4.05e+03 |  -6.25e+07 |   2.77e+04 |   4.25e+05 |    6.29e+03 |    9.01e+04 |   -6.30e+03 |   8.57e-03 |   4.51e-01 |     18268.29 |    80.37 |  2894m 16s | Model saved         
    2650 |   5.89e+05 |   3.86e+03 |  -6.23e+07 |   2.68e+04 |   4.23e+05 |    6.30e+03 |    9.16e+04 |   -6.29e+03 |   8.57e-03 |   4.51e-01 |     18268.29 |    88.10 |  2892m 09s | Model saved         
    2700 |   5.83e+05 |   3.75e+03 |  -6.27e+07 |   2.76e+04 |   4.09e+05 |    6.13e+03 |    9.00e+04 |   -6.32e+03 |   8.57e-03 |   4.51e-01 |     18268.29 |    85.79 |  2888m 39s | Model saved (best)  
    2750 |   5.92e+05 |   3.99e+03 |  -6.22e+07 |   2.88e+04 |   4.24e+05 |    6.28e+03 |    8.95e+04 |   -6.28e+03 |   8.15e-03 |   4.51e-01 |     18268.29 |    87.69 |  2886m 22s | Model saved         
    2800 |   5.78e+05 |   3.61e+03 |  -6.28e+07 |   2.82e+04 |   3.96e+05 |    6.00e+03 |    9.02e+04 |   -6.33e+03 |   8.15e-03 |   4.51e-01 |     18268.29 |    79.40 |  2879m 18s | Model saved (best)  
    2850 |   5.71e+05 |   3.53e+03 |  -6.26e+07 |   2.81e+04 |   3.98e+05 |    6.02e+03 |    8.97e+04 |   -6.31e+03 |   8.15e-03 |   4.51e-01 |     18268.29 |    86.78 |  2876m 38s | Model saved         
    2900 |   5.69e+05 |   3.49e+03 |  -6.29e+07 |   2.87e+04 |   3.88e+05 |    5.90e+03 |    8.95e+04 |   -6.34e+03 |   8.15e-03 |   4.51e-01 |     18268.29 |    79.70 |  2870m 04s | Model saved (best)  
    2950 |   5.67e+05 |   3.45e+03 |  -6.27e+07 |   2.94e+04 |   3.89e+05 |    5.93e+03 |    8.95e+04 |   -6.32e+03 |   8.15e-03 |   4.51e-01 |     18268.29 |    87.04 |  2867m 41s | Model saved         
    3000 |   5.57e+05 |   3.31e+03 |  -6.30e+07 |   2.87e+04 |   3.77e+05 |    5.78e+03 |    8.79e+04 |   -6.35e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    79.52 |  2861m 18s | Model saved (best)  
    3050 |   5.54e+05 |   3.24e+03 |  -6.29e+07 |   2.90e+04 |   3.77e+05 |    5.79e+03 |    8.84e+04 |   -6.34e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    88.48 |  2859m 49s | Model saved         
